 # ID       Xpix           Wavelength          Intens       Line 
    9      193.9        6435.12655231         14193.0          ? 
   12      227.2        6436.67012658         31070.0        ThI 
   17        0.0        6438.30834741         31196.0        ThI 
   23      326.6        6441.28114464         12548.0          ? 
   24      339.9        6441.90049623        108324.0       ArII 
   26      421.0        6445.63898271         21241.0        ThI 
   27      431.8        6446.13584021         19807.0        ThI 
   28      445.7        6446.77086158        198540.0        ThI 
   36        0.0        6448.72576329          9526.0          ? 
   39      512.1        6449.80861633         30972.0       NoID 
   40      516.4        6450.00567238        238785.0        ThI 
   45      537.1        6450.95421450         70267.0        ThI 
   46      543.8        6451.25975440          3810.0          ? 
   47      561.4        6452.05858575         28609.0        ThI 
   49      581.0        6452.95075302         11943.0        ThI 
   54      631.9        6455.26460126         34007.0        ThI 
   57        0.0        6455.59677701          4747.0       NoID 
   66      721.2        6459.29775950          8707.0          ? 
   68      747.3        6460.47451529         69450.0        ThI 
   71        0.0        6461.06719902         14414.0          ? 
   73      834.7        6464.40019338          2925.0          ? 
   82      907.9        6467.67496937         64996.0        ThI 
   87      987.5        6471.21352945         52369.0       ThII 
   89      997.5        6471.65754113         22970.0       NoID 
   90     1003.9        6471.93908347          6275.0          ? 
   91     1014.9        6472.42982659         74790.0       ArII 
   95     1080.3        6475.32325403         11739.0       ArII 
   98     1162.6        6478.94185657          1826.0          ? 
  102     1200.6        6480.61057412          4760.0          ? 
  103     1212.9        6481.14505048        105671.0        ArI 
  104     1216.5        6481.30060168         50525.0        ThI 
  105     1257.2        6483.08321261        802518.0       ArII 
  106     1279.8        6484.07022835         12843.0        ThI 
  112     1309.8        6485.37796890         13736.0       ThII 
  118     1358.2        6487.48067079         84031.0        ThI 
  119     1390.5        6488.88291694        103004.0        ThI 
  121     1433.4        6490.73729056        928777.0        ThI 
  123     1490.4        6493.19740039        390932.0        ThI 
  124     1503.8        6493.77730753         76203.0       NoID 
  125     1508.2        6493.96889004        155444.0        ArI 
  128     1538.2        6495.25548126         33436.0        ThI 
  134     1590.3        6497.49034161         45283.0        ThI 
  135     1619.8        6498.76825115          4546.0          ? 
  136     1628.1        6499.10481569        107146.0        ArI 
  137     1640.6        6499.64496752         17517.0       NoID 
  138     1664.2        6500.65732543         28850.0        ThI 
  139     1680.9        6501.36181308         22330.0       ArII 
  140     1695.6        6501.99125691        255502.0        ThI 
  142     1731.3        6503.51182822         48084.0       ThII 
  162     1845.7        6508.36083293        161204.0        ThI 
  172     1908.2        6510.99844499         18461.0       ThII 
  177     1956.6        6513.05134521          9370.0          ? 
