 # ID       Xpix           Wavelength          Intens       Line 
   37      283.4        4761.10972926         21852.0       ThII 
   38      305.1        4761.86099617          3902.0       ThII 
   42      324.4        4762.52481724          9562.0       ThII 
   46      377.4        4764.34628152        297423.0        ThI 
   47      413.9        4765.59540847        105963.0        ThI 
   52      443.3        4766.60100395        511831.0        ThI 
   53      453.7        4766.96179433          2677.0       ThII 
   55        0.0        4768.06125194         10275.0       ThII 
   72      638.9        4773.24110403         48589.0        ThI 
   74      686.0        4774.83148549          1892.0       NoID 
   77      700.5        4775.31362569         68064.0        ThI 
   81      714.8        4775.79424930         81349.0        ThI 
   82      730.4        4776.32107265          6678.0        ThI 
   83      744.2        4776.77924321          9107.0       NoID 
   84      756.5        4777.19166789         78337.0        ThI 
   85      770.2        4777.64870874          2019.0          ? 
   86      799.7        4778.63801950          4270.0        ThI 
   89      832.5        4779.72834648         77924.0        ThI 
   93      863.2        4780.75095940         34075.0        ThI 
   94      874.0        4781.10393883          1689.0          ? 
   95      879.4        4781.29008549         16008.0       NoID 
  106      923.7        4782.76112854         34832.0       ThII 
  110      957.1        4783.86298444        100608.0        ThI 
  117      989.4        4784.93093733          2490.0       ThII 
  119      999.6        4785.27188895          4622.0       NoID 
  123     1026.3        4786.14785573         18213.0       ArII 
  125     1038.0        4786.53056627        102086.0        ThI 
  126     1041.6        4786.72396200         18259.0        ThI 
  129     1056.8        4787.14743374        183850.0        ThI 
  138     1125.1        4789.38627320        612572.0        ThI 
  139     1140.7        4789.90325314          1130.0          ? 
  140     1146.2        4790.07577740          4613.0       NoID 
  141     1157.1        4790.43751350          9202.0       ThII 
  148     1207.4        4792.08144466         30922.0       ArII 
  149     1223.3        4792.59482355         10074.0          ? 
  150     1232.8        4792.90512628          2419.0       ThII 
  151     1243.3        4793.24481422         65228.0        ThI 
  152     1256.6        4793.67717559          9648.0          ? 
  153     1263.6        4793.90449632         10013.0        ThI 
  157     1316.0        4795.61194263          3142.0       NoID 
  158     1325.6        4795.91375361         83379.0        ThI 
  159        0.0        4796.24289934          8396.0        ThI 
  166     1389.5        4797.97212485          7084.0          ? 
  173     1457.7        4800.17136773         24815.0       ThII 
  175     1485.0        4801.05152535          6255.0        ThI 
  176     1494.5        4801.34815670          2385.0          ? 
  178     1535.7        4802.67114190          9633.0        ThI 
  179     1576.0        4803.95559731          8494.0       ThII 
  180     1594.4        4804.54402428           708.0          ? 
  191     1754.2        4809.61458869        499156.0        ThI 
  205     1841.9        4812.37604538         62227.0        ThI 
  208     1861.8        4813.00695807         61199.0        ThI 
  210     1884.5        4813.72084875        181161.0       NoID 
  211     1890.3        4813.89670911        288153.0        ThI 
  212     1899.8        4814.16437413           944.0          ? 
  213     1922.9        4814.92275800          6499.0        ThI 
