 # ID       Xpix           Wavelength          Intens       Line 
   11        0.0        5494.56512610          4126.0       ThII 
   12        0.0        5494.62498511          1221.0          ? 
   13       95.8        5495.87500425        777433.0        ArI 
   14      102.2        5496.13752714        314344.0        ThI 
   15      126.7        5497.12758570          6964.0          ? 
   16        0.0        5497.24051454           431.0          ? 
   18      198.9        5500.03324362          8121.0        ThI 
   19        0.0        5500.24364143          6091.0       NoID 
   20        0.0        5500.33349243         21427.0       ArII 
   21        0.0        5500.44152457          1123.0          ? 
   23      238.0        5501.70173198          3340.0        ThI 
   25        0.0        5502.44961422          1481.0          ? 
   26        0.0        5502.59383570          1678.0          ? 
   27        0.0        5502.71804952          1662.0        ThI 
   28      271.2        5503.02564836          2143.0          ? 
   29      279.7        5503.26553528          7385.0          ? 
   30        0.0        5503.38682089           404.0          ? 
   31        0.0        5503.46948881           596.0          ? 
   32        0.0        5503.60120562           983.0          ? 
   35        0.0        5506.78839830          1327.0          ? 
   37        0.0        5507.02147105          1026.0          ? 
   39        0.0        5507.57250386          6746.0          ? 
   42        0.0        5508.63554791          1876.0          ? 
   43      419.4        5508.91094634          1043.0          ? 
   44      426.7        5509.10232522          1100.0          ? 
   46        0.0        5510.37367663          4110.0        ThI 
   47        0.0        5510.49637085          6701.0        ThI 
   49        0.0        5510.98251499          1913.0          ? 
   50        0.0        5511.06004928          8602.0       NoID 
   51      492.0        5511.73069114          1030.0          ? 
   53        0.0        5512.97923063          2398.0       NoID 
   54        0.0        5513.08933222           517.0          ? 
   55        0.0        5513.30255126          1152.0          ? 
   56        0.0        5513.37644952           484.0          ? 
   57      551.5        5514.10665047          1108.0          ? 
   60        0.0        5516.50123580          4649.0       NoID 
   61        0.0        5516.58631608          1340.0        ThI 
   62      625.6        5517.00664279           756.0          ? 
   63      643.3        5517.61756959          1058.0          ? 
   64        0.0        5517.79486923          2051.0       ThII 
   65        0.0        5517.87064399           723.0          ? 
   66        0.0        5518.15180988           711.0          ? 
   67        0.0        5518.25748565          1439.0          ? 
   68      666.3        5518.58324163          1009.0          ? 
   69        0.0        5518.72631941          1159.0       ThII 
   70        0.0        5518.81076585          2174.0          ? 
   72        0.0        5519.23476958         29059.0        ThI 
