 # ID       Xpix           Wavelength          Intens       Line 
   64      487.9        6307.43268680          4785.0          ? 
   65      492.7        6307.65733847        710448.0        ArI 
   68      526.2        6309.15996300        123091.0        ArI 
   70      563.0        6310.81002993        265678.0        ThI 
   81        0.0        6312.27685706          5256.0          ? 
   83      603.7        6312.62458969         40945.0        ThI 
   84      674.3        6315.77469582        340316.0        ThI 
   85      706.1        6317.18331157         91476.0        ThI 
   86      715.8        6317.61108670          3081.0          ? 
   91      739.9        6318.69350104          9581.0          ? 
  100      798.9        6321.30021506        100387.0        ThI 
  104      810.7        6321.81992250         75000.0        ThI 
  111      838.1        6323.02578669          2464.0          ? 
  118      883.1        6325.00477426         12217.0          ? 
  120      914.2        6326.36651558        588771.0        ThI 
  125     1029.7        6331.41414308        110200.0        ThI 
  131     1121.7        6335.40502234          5546.0      ThIII 
  132     1128.5        6335.70197959         28173.0        ThI 
  137     1172.8        6337.62029043        339854.0        ThI 
  141     1212.0        6339.30554184         39720.0        ThI 
  143     1220.3        6339.66850637        269411.0        ThI 
  154     1370.8        6346.12071555        115957.0        ThI 
  156     1394.1        6347.10590596          7730.0          ? 
  161     1432.1        6348.73728683        735084.0        ThI 
  162     1443.2        6349.19866991         23030.0          ? 
  165     1483.0        6350.89584710          3465.0          ? 
