   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    0    no  4800172.4       84.6        0.0       11.8      1.000        1.0        1.0 
    1    no  4801051.7       10.8        0.0        0.0      1.000        1.0        1.0 
    2    no  4803955.9       28.3        0.0       39.3      1.000        1.0        1.0 
    3    no  4806020.5    10222.7        0.0       67.4      1.000        1.0        1.0 
    4    no  4808133.7     2553.7        0.0       96.4      1.000        1.0        1.0 
    5    no  4809614.0      951.6        0.0      116.8      1.000        1.0        1.0 
    6    no  4812375.5      107.5        0.0      155.2      1.000        1.0        1.0 
    7    no  4813006.9       87.7        0.0      164.0      1.000        1.0        1.0 
   11    no  4757219.6       75.8        0.0      545.2      1.000        1.0        1.0 
   12    no  4761110.1       75.8        0.0      500.5      1.000        1.0        1.0 
   13    no  4761861.4       23.0        0.0      491.7      1.000        1.0        1.0 
   14    no  4762524.2       36.2        0.0      484.0      1.000        1.0        1.0 
   15    no  4764346.3      548.6        0.0      462.7      1.000        1.0        1.0 
   16    no  4764864.6    26039.0        0.0      456.6      1.000        1.0        1.0 
   17    no  4765595.0      178.6        0.0      448.0      1.000        1.0        1.0 
   18    no  4766600.6      683.2        0.0      436.1      1.000        1.0        1.0 
   19    no  4768057.8       43.0        0.0      418.8      1.000        1.0        1.0 
   20    no  4773241.0       90.1        0.0      356.4      1.000        1.0        1.0 
   30    no       50.6       29.3       10.2      227.3      1.000        1.0        1.0 
   43    no  4800172.4       84.6        0.0       11.8      1.000        1.0        1.0 
   44    no  4801051.7       10.8        0.0        0.0      1.000        1.0        1.0 
   46    no  4803955.9       28.3        0.0       39.3      1.000        1.0        1.0 
   47    no  4805606.3       13.3        0.0       61.7      1.000        1.0        1.0 
   48    no  4806020.5    10222.7        0.0       67.4      1.000        1.0        1.0 
   49    no  4808133.7     2553.7        0.0       96.4      1.000        1.0        1.0 
   50    no  4809614.0      951.6        0.0      116.8      1.000        1.0        1.0 
   51    no  4812375.5      107.5        0.0      155.2      1.000        1.0        1.0 
   52    no  4813006.9       87.7        0.0      164.0      1.000        1.0        1.0 
   54    no  4757219.6       75.8        0.0      545.2      1.000        1.0        1.0 
   55    no  4761110.1       75.8        0.0      500.5      1.000        1.0        1.0 
   56    no  4761861.4       23.0        0.0      491.7      1.000        1.0        1.0 
   57    no  4762524.2       36.2        0.0      484.0      1.000        1.0        1.0 
   58    no  4764346.3      548.6        0.0      462.7      1.000        1.0        1.0 
   59    no  4764864.6    26039.0        0.0      456.6      1.000        1.0        1.0 
   60    no  4765595.0      178.6        0.0      448.0      1.000        1.0        1.0 
   61    no  4766600.6      683.2        0.0      436.1      1.000        1.0        1.0 
   62    no  4768057.8       43.0        0.0      418.8      1.000        1.0        1.0 
   63    no  4773241.0       90.1        0.0      356.4      1.000        1.0        1.0 
