 # ID       Xpix           Wavelength          Intens       Line 
   10     1908.6        4775.31300000             1.0        ThI 
   11     1923.9        4775.79400000             1.0        ThI 
   12     1955.6        4776.77920000             1.0         Th 
   13     1968.6        4777.19150000             1.0        ThI 
   34      635.1        4734.04580000             1.0        ThI 
   36      750.9        4737.91720000             1.0        ThI 
   37      803.7        4739.67640000             1.0        ThI 
   38      829.4        4740.52920000             1.0       ThII 
   39      842.1        4740.95850000             1.0        ThI 
   40      852.8        4741.30390000             1.0        ThI 
   41      877.2        4742.11740000             1.0        ThI 
   42      890.7        4742.56710000             1.0         Th 
   43      924.8        4743.68700000             1.0       ThII 
   44      974.5        4745.33750000             1.0        ThI 
   46     1073.7        4748.59110000             1.0       ThII 
   47     1092.3        4749.20020000             1.0        ThI 
   48     1115.9        4749.97130000             1.0        ThI 
   49     1190.8        4752.41410000             1.0       ThII 
   65      206.7        4719.44240000             1.0        ThI 
