 # ID       Xpix           Wavelength          Intens       Line 
    8        0.0        4288.04757518          4187.0       ThII 
    9        0.0        4288.10597083          3157.0       NoID 
   10      107.7        4288.46944925         19001.0        ThI 
   11        0.0        4288.52274823          1826.0          ? 
   12        0.0        4288.66874084         64693.0        ThI 
   13      125.3        4289.20803202          1957.0        ThI 
   14        0.0        4289.36522769          5251.0       NoID 
   15        0.0        4289.41647821          2126.0        ThI 
   16        0.0        4289.54687492           529.0       NoID 
   17      143.4        4289.65494550         22020.0        ThI 
   18        0.0        4289.71864575          1291.0     Contam 
   19        0.0        4289.93001817           418.0          ? 
   20        0.0        4290.02531610           731.0       NoID 
   21        0.0        4290.17058990          1172.0       NoID 
   22        0.0        4290.22661017           927.0          ? 
   23        0.0        4290.28192762          1172.0       NoID 
   24      165.7        4290.39344830         12828.0        ThI 
   25        0.0        4291.31538085           929.0       NoID 
   26        0.0        4291.38403380          1404.0       ThII 
   27        0.0        4291.46247917          4440.0          ? 
   28        0.0        4291.63261343          3909.0        ThI 
   29        0.0        4291.72788737          1461.0          ? 
   30      207.1        4291.80966387         84477.0        ThI 
   31      220.9        4292.30620828          5810.0        ThI 
   32      254.3        4293.43794265          1092.0       NoID 
   33        0.0        4294.02573407          2376.0        ThI 
   34        0.0        4294.12478602          1145.0          ? 
   35        0.0        4294.71958559         20945.0        ThI 
   36        0.0        4294.76196945          6918.0          ? 
   37        0.0        4295.03826378          3231.0       ThII 
   38        0.0        4295.12563680          2688.0       ThII 
   39        0.0        4295.23705350          3387.0        ThI 
   40      320.1        4295.58481404         22079.0        ThI 
   41      331.9        4295.81568832          8474.0        ThI 
   42      344.2        4296.36091093           958.0        ThI 
   43      367.4        4296.96853012          3109.0       NoID 
   44      373.7        4297.30691212         84620.0        ThI 
   45        0.0        4297.37252486          4122.0       ThII 
   46      388.4        4297.63356021          3354.0       NoID 
   47        0.0        4298.12264957          5839.0        ThI 
   48        0.0        4298.18432435          2358.0        ThI 
   49      417.2        4298.56436540          1812.0        ThI 
   50        0.0        4298.82857391          2572.0       ThII 
   51        0.0        4298.88912098          2658.0       ThII 
   52        0.0        4298.98653736          3679.0     Contam 
   53      438.6        4299.23140595          2341.0          ? 
   54      442.4        4299.49626629          2196.0       NoID 
   56      457.4        4299.83954500        114409.0        ThI 
   57      475.3        4300.45464122          4319.0          ? 
   58      478.7        4300.64988686        203270.0       ArII 
   59      493.7        4300.97913826           603.0          ? 
   60      501.2        4301.28744517           376.0       ThII 
   61      517.4        4301.87103367          1582.0          ? 
   62      523.4        4302.04595066          1862.0       NoID 
   63        0.0        4302.21998688          1228.0        ThI 
   64        0.0        4302.32515222          1585.0          ? 
   65        0.0        4302.52562649         16195.0     Contam 
   66      546.7        4302.64541298          2993.0          ? 
   67        0.0        4302.92921533           281.0          ? 
   68        0.0        4302.98744601           505.0          ? 
   69        0.0        4303.09276431          3769.0       NoID 
   70      564.4        4303.23111092          1026.0       NoID 
   71        0.0        4303.38710089          5546.0       NoID 
   72        0.0        4303.44122165           577.0          ? 
   73      585.0        4303.98914852         18084.0        ThI 
   74      597.6        4304.29165195          1180.0        ThI 
   75      598.8        4304.41745586         10453.0       NoID 
   76        0.0        4304.80315940          2223.0        ThI 
   77        0.0        4304.86844523          2151.0        ThI 
   78      616.1        4304.95643808         26661.0        ThI 
   79      632.9        4305.33511047           825.0          ? 
   80        0.0        4306.30396961          3034.0          ? 
   81        0.0        4306.36524049         16819.0        ThI 
   82        0.0        4306.67644063          2453.0          ? 
   83        0.0        4306.73323969           783.0       NoID 
   84      682.1        4306.85994436           684.0          ? 
   85      688.1        4307.17601521        173799.0        ThI 
   86      710.5        4307.74005884          4517.0       NoID 
   87      715.9        4307.90171331         10350.0       NoID 
   88      719.3        4308.12174543         64216.0        ThI 
   89        0.0        4308.55400072          6903.0        ThI 
   90        0.0        4308.59964671         24213.0        ThI 
   91        0.0        4308.79693981           333.0          ? 
   92      754.8        4309.09385070        116797.0       ArII 
   93      777.3        4309.88672112         69645.0        ThI 
   94      780.8        4309.99258527         27678.0       ThII 
   95        0.0        4310.09922221          1239.0        ThI 
   96        0.0        4310.18337808          1492.0       ThII 
   97      800.6        4310.63661984           440.0          ? 
   98      809.2        4310.75755802           594.0          ? 
   99        0.0        4310.95689658          4714.0        ThI 
  100        0.0        4311.06180798         10699.0        ThI 
  101        0.0        4311.13455384          1470.0       NoID 
  102        0.0        4311.23691791          2935.0        ThI 
  103        0.0        4311.32044294          1689.0       NoID 
  104        0.0        4311.57591273         19068.0        ThI 
  105        0.0        4311.62760213         11070.0        ThI 
  106      840.7        4311.79921398         77116.0        ThI 
  107      856.2        4312.26542833           797.0          ? 
  108      863.4        4312.46870685           555.0          ? 
  110        0.0        4313.41586566          2572.0       NoID 
  111        0.0        4313.51326904           506.0          ? 
  113        0.0        4313.77840228          3335.0        ThI 
  114        0.0        4313.86414672          1346.0          ? 
  115        0.0        4314.01177688          3470.0       ThII 
  116        0.0        4314.05406376          2596.0        ThI 
  117        0.0        4314.43634118          2462.0       NoID 
  118        0.0        4314.49711419           733.0        ThI 
  119        0.0        4315.04874406          4526.0        ThI 
  120        0.0        4315.07395243          2133.0          ? 
  122      960.5        4315.47200870          2067.0       NoID 
  123      968.8        4315.58376230           509.0       ThII 
  126      990.1        4316.22068972          1090.0        ThI 
  128     1021.8        4317.22704394           655.0       ThII 
  131     1042.4        4317.84144328          5151.0        ThI 
  132     1049.0        4318.11996200           664.0          ? 
  133     1059.4        4318.29403220          4748.0       ThII 
  135     1066.2        4318.52427362          2111.0        ThI 
  136        0.0        4319.09813962          3626.0       ThII 
  137        0.0        4319.19291769          1487.0        ThI 
  140        0.0        4320.35273551          1230.0       NoID 
  141        0.0        4320.45091568          2227.0       ThII 
  142     1137.1        4320.73883892         10577.0        ThI 
  143     1149.2        4321.09720662          1851.0       NoID 
  144     1153.5        4321.22412522           406.0        ThI 
  146     1173.2        4321.72655502          1742.0        ThI 
  149     1217.2        4323.04479514           532.0          ? 
  150        0.0        4323.57145955          1657.0       NoID 
  151        0.0        4323.63496284          1576.0        ThI 
  152     1267.3        4324.44347809           896.0       NoID 
  153        0.0        4324.89984899          2835.0        ThI 
  154        0.0        4324.96335628           594.0          ? 
  155        0.0        4325.02015333          1769.0       NoID 
  157        0.0        4325.76182316         12504.0       NoID 
  159        0.0        4325.92437639           780.0          ? 
  160        0.0        4326.52110835          1633.0       NoID 
  161        0.0        4326.58273114           432.0          ? 
  162     1341.8        4326.68392451          1563.0       NoID 
  163     1357.8        4327.22999280         11422.0       ThII 
  164     1362.2        4327.33721159          2193.0       ArII 
  166        0.0        4327.98292866          1649.0        ThI 
  167        0.0        4328.05243637           570.0       NoID 
  168        0.0        4328.13976538           512.0          ? 
  169        0.0        4328.22260858           561.0          ? 
  170        0.0        4328.28486620           524.0          ? 
  171     1408.4        4328.68882889          3252.0       ThII 
  172     1417.5        4328.91538327        281603.0        ThI 
  173     1425.3        4329.10727677          1789.0       NoID 
  174     1430.6        4329.22017106          1712.0       NoID 
  175        0.0        4329.43812770         19633.0       ArII 
  176        0.0        4329.49151465          7208.0       ThII 
  177     1454.0        4329.91077431           433.0          ? 
  178        0.0        4330.21205702          6902.0        ThI 
  179        0.0        4330.26820224          1742.0       NoID 
  180     1468.8        4330.41127459         17954.0        ThI 
  181        0.0        4330.56712557          1076.0        ThI 
  182     1480.8        4330.68022880          4581.0          ? 
  183     1483.7        4330.84406069         90260.0        ThI 
  184     1507.3        4331.58198748          1345.0        ThI 
  185     1524.5        4332.02979562        223182.0       ArII 
  186     1535.1        4332.33905623         17834.0        ThI 
  187     1566.1        4333.28484031          2855.0        ThI 
  188     1590.3        4333.93687170          2944.0       ThII 
  189        0.0        4334.74498801           486.0          ? 
  190        0.0        4334.93258363           756.0       NoID 
  191     1664.0        4335.99273260           830.0        ThI 
  192        0.0        4336.98825057          7897.0        ThI 
  195     1720.8        4337.63845443          1474.0        ThI 
  196     1726.0        4337.86690130           430.0       ThII 
  197     1732.4        4337.96990718           593.0       NoID 
  200     1749.0        4338.53856150           432.0          ? 
  201     1759.0        4338.79896396           724.0          ? 
  202        0.0        4339.01357347           978.0       NoID 
  203        0.0        4339.37495835          4207.0        ThI 
  204        0.0        4339.45001759          1990.0       NoID 
  205        0.0        4339.78176827          1164.0       NoID 
  206        0.0        4339.87175958         11070.0        ThI 
  207        0.0        4339.92859562          1292.0        ThI 
  208     1832.5        4340.89510720         85493.0        ThI 
  209     1844.8        4341.33159831           713.0          ? 
  210     1873.0        4342.04857457          3303.0        ThI 
  211     1886.7        4342.44391151        244032.0        ThI 
  212     1890.7        4342.67517663          7035.0        ThI 
  213     1905.5        4342.97305622          1782.0        ThI 
  214     1911.9        4343.24663020          1650.0          ? 
  215     1919.5        4343.38174063         21166.0        ThI 
  216        0.0        4343.60361123          3895.0       ThII 
  217        0.0        4343.67672698           772.0          ? 
  218        0.0        4343.74654860           844.0          ? 
  219     1939.5        4343.95138768         33874.0       ThII 
  220     1952.5        4344.32643495         82031.0       ThII 
