   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    0    no  5494330.6      291.6        0.0       18.2      1.000        1.0        1.0 
    1    no  5495873.8     1555.3        0.0        0.0      1.000        1.0        1.0 
    2    no  5496137.0      599.9        0.0        3.1      1.000        1.0        1.0 
    3    no  5498184.1      147.2        0.0       27.4      1.000        1.0        1.0 
    4    no  5499255.4     3760.1        0.0       40.2      1.000        1.0        1.0 
    5    no  5499647.8      180.6        0.0       44.9      1.000        1.0        1.0 
    6    no  5501281.4      114.6        0.0       64.4      1.000        1.0        1.0 
    7    no  5501943.9       70.1        0.0       72.4      1.000        1.0        1.0 
    8    no  5504301.8      800.7        0.0      100.9      1.000        1.0        1.0 
    9    no  5506112.8      413.0        0.0      122.8      1.000        1.0        1.0 
   10    no  5506919.6       41.3        0.0      132.7      1.000        1.0        1.0 
   11    no  5507538.5      216.2        0.0      140.2      1.000        1.0        1.0 
   12    no  5508558.5      119.1        0.0      152.7      1.000        1.0        1.0 
   19    no       33.4        7.8      241.1      574.7      1.000        1.0        1.0 
   20    no  5447153.6      155.2        0.0      534.3      1.000        1.0        1.0 
   21    no  5448271.9       27.3        0.0      522.9      1.000        1.0        1.0 
   22    no  5449478.8      219.4        0.0      510.7      1.000        1.0        1.0 
   23    no  5449897.4       50.8        0.0      506.4      1.000        1.0        1.0 
   24    no  5450510.4       29.6        0.0      500.2      1.000        1.0        1.0 
   25    no  5451652.0      614.5        0.0      488.5      1.000        1.0        1.0 
   26    no  5452218.7      794.3        0.0      482.6      1.000        1.0        1.0 
   29    no       79.0        0.2       11.9      393.6      1.000        1.0        1.0 
   32    no       11.6        0.2       21.7      366.3      1.000        1.0        1.0 
   33    no       12.8        0.0       20.8      361.5      1.000        1.0        1.0 
   45    no       13.3        0.0       14.1      161.1      1.000        1.0        1.0 
   55    no  5494330.6      291.6        0.0       18.2      1.000        1.0        1.0 
   56    no  5495873.8     1555.3        0.0        0.0      1.000        1.0        1.0 
   57    no  5496137.0      599.9        0.0        3.1      1.000        1.0        1.0 
   58    no  5498184.1      147.2        0.0       27.4      1.000        1.0        1.0 
   59    no  5499255.4     3760.1        0.0       40.2      1.000        1.0        1.0 
   60    no  5499647.8      180.6        0.0       44.9      1.000        1.0        1.0 
   61    no  5501281.4      114.6        0.0       64.4      1.000        1.0        1.0 
   62    no  5501943.9       70.1        0.0       72.4      1.000        1.0        1.0 
   63    no  5504301.8      800.7        0.0      100.9      1.000        1.0        1.0 
   64    no  5506112.8      413.0        0.0      122.8      1.000        1.0        1.0 
   65    no  5506919.6       41.3        0.0      132.7      1.000        1.0        1.0 
   66    no  5507538.5      216.2        0.0      140.2      1.000        1.0        1.0 
   67    no  5508558.5      119.1        0.0      152.7      1.000        1.0        1.0 
   69    no       37.6        2.7      276.4      605.8      1.000        1.0        1.0 
   70    no       28.8        0.8      227.4      599.7      1.000        1.0        1.0 
   71    no  5447153.6      155.2        0.0      534.3      1.000        1.0        1.0 
   72    no  5448271.9       27.3        0.0      522.9      1.000        1.0        1.0 
   73    no  5449478.8      219.4        0.0      510.7      1.000        1.0        1.0 
   74    no  5449897.4       50.8        0.0      506.4      1.000        1.0        1.0 
   75    no  5450510.4       29.6        0.0      500.2      1.000        1.0        1.0 
   76    no  5451652.0      614.5        0.0      488.5      1.000        1.0        1.0 
   77    no  5452218.7      794.3        0.0      482.6      1.000        1.0        1.0 
