   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    0    no       10.3       17.7    14721.9       37.8      1.000        1.0        1.0 
    1    no        3.6        0.0       63.8        0.0      1.000        1.0        1.0 
    3    no       36.5        1.2       62.2       79.4      1.000        1.0        1.0 
    5    no       22.2        0.1       32.9      164.0      1.000        1.0        1.0 
   12    no       12.4        0.1       23.0      360.2      1.000        1.0        1.0 
   16    no       36.2        0.3       51.5      481.9      1.000        1.0        1.0 
   17    no       73.8        1.4      228.5      490.7      1.000        1.0        1.0 
   20    no        2.5      571.8    92765.7      564.6      1.000        1.0        1.0 
   21    no       13.3        0.2      314.0      595.5      1.000        1.0        1.0 
   22    no        9.3       32.3    27578.4      635.9      1.000        1.0        1.0 
   24    no        6.4       15.0     8858.4      673.9      1.000        1.0        1.0 
   25    no        2.0      831.4   166481.6      703.0      1.000        1.0        1.0 
