wmask fmask
5934.661737 0.621
5940.418435 0.022
5940.990108 0.169
5944.307082 0.018
5944.717044 0.017
5945.647371 0.013
5946.477926 0.014
5946.856914 0.013
5947.531805 0.078
5948.54297 0.588
5949.328604 0.314
5950.082497 0.016
5951.449125 0.017
5952.713332 0.605
5953.154564 0.292
5954.94466 0.013
5956.701806 0.539
5957.546421 0.014
5957.878702 0.04
5958.626242 0.017
5847.000847 0.205
5848.116738000001 0.309
5852.223545000001 0.34
5853.682422 0.529
5855.083844 0.192
5856.092318 0.291
5859.591350000001 0.535
5862.362999 0.577
5864.251834 0.062
5866.456454 0.41
5867.563317 0.208
5869.687856 0.018
5870.647882 0.111
5871.29882 0.035
5873.209647 0.151
5873.764071 0.05
5875.140239 0.016
5877.796427 0.148
5881.281399 0.138
5881.764079 0.013
5882.800462 0.013
5883.058356 0.01
5883.823927 0.573
5884.44305 0.026
5885.054894 0.045
5885.387789 0.032
5886.81193 0.013
5887.462102 0.028
5891.176568 0.165
5891.865543 0.035
5892.420495 0.042
5892.872719 0.785
5894.943453 0.011
5897.233191 0.044
5898.195759 0.117
5787.912937 0.367
5790.987691 0.584
5791.530317 0.099
5793.0755659999995 0.323
5793.918313 0.308
5803.570915 0.027
5805.221124 0.344
5805.7666659999995 0.13
5806.726445 0.418
5809.218836 0.399
5811.919079 0.114
5814.811237 0.215
5815.21956 0.103
5827.881134 0.114
5831.601554999999 0.214
5835.103671 0.134
5835.440205000001 0.072
5731.766696000001 0.473
5732.299913999999 0.132
5732.857039 0.042
5737.067433 0.101
5739.474937 0.088
5739.985872 0.079
5741.851833 0.293
5752.036873999999 0.457
5753.127198 0.585
5753.6413410000005 0.3
5755.344379 0.036
5760.348796 0.214
5760.834312999999 0.305
5762.992853 0.636
5769.329938000001 0.083
5769.669732 0.035
5772.145523 0.376
5775.084203 0.481
5776.2321680000005 0.038
5675.424681 0.384
5677.689281 0.07
5679.027723 0.477
5680.243673999999 0.105
5688.212978 0.715
5689.471432 0.113
5690.427113 0.397
5691.501355 0.359
5693.129154 0.021
5696.094835 0.131
5700.222635 0.162
5701.551352 0.637
5703.583426 0.255
5705.469582 0.341
5706.007618 0.547
5707.029531 0.315
5711.0917580000005 0.624
5712.779499 0.144
5715.08813 0.54
5717.836585999999 0.482
5720.895758 0.136
5721.713317 0.061
5618.636656 0.433
5619.60428 0.291
5620.479599 0.293
5621.609451 0.088
5624.549727 0.717
5627.5139469999995 0.091
5633.950148 0.491
5634.522567 0.042
5638.265568999999 0.585
5638.74964 0.094
5641.44391 0.507
5644.121142 0.289
5645.612193 0.28
5647.238254 0.126
5648.568561 0.102
5650.689349 0.309
5651.473233 0.178
5652.320578 0.244
5653.870661999999 0.323
5657.879202 0.508
5660.710773999999 0.132
5661.017842 0.046
5661.3490600000005 0.205
5662.521789 0.642
5664.002743 0.304
5559.647098 0.074
5560.2150710000005 0.453
5562.712441 0.49
5563.620446000001 0.6
5565.708329 0.597
5567.391390000001 0.497
5568.868945 0.105
5569.625126999999 0.753
5581.973653 0.677
5584.773142 0.321
5588.758309999999 0.829
5589.361301000001 0.259
5591.363993 0.054
5592.2474170000005 0.502
5593.738909 0.357
5601.277133 0.676
5607.093661999999 0.016
5608.982509 0.099
5505.882681 0.396
5506.785699 0.81
5510.681778 0.16
5516.773553 0.269
5517.538598 0.113
5521.128171 0.071
5522.44973 0.382
5523.295622 0.059
5525.120933 0.109
5525.547885 0.46
5526.816245 0.595
5528.414598 0.806
5530.785145 0.114
5531.979394 0.14
5532.763613 0.341
5534.844924 0.483
5535.439113 0.528
5537.766286 0.194
5539.2844270000005 0.169
5543.21615 0.438
5543.941217 0.509
5546.51083 0.439
5546.996983 0.228
5548.939829 0.007
5549.6494569999995 0.094
5549.9554929999995 0.105
5551.011475 0.017
5551.97091 0.075
5553.59462 0.373
5453.23227 0.105
5455.6016660000005 0.833
5461.5534609999995 0.238
5462.496325 0.344
5466.400715 0.6
5466.986695 0.298
5468.109305 0.127
5470.0959569999995 0.233
5470.636662000001 0.322
5472.707999 0.365
5473.165661 0.182
5473.389723 0.073
5473.903604 0.603
5477.718194 0.189
5478.434313 0.328
5481.258873 0.49
5487.148472 0.311
5487.748917999999 0.62
5490.6988089999995 0.205
5491.835903 0.123
5492.886369 0.097
5493.501135 0.345
5494.467659 0.253
