     # Wavelength(A)     height(norm)       FWHM(km/s)          Simetry            Slope            rms_%        Intercept          ID
         4512.739805            0.791            5.298           1.0058        2.957e-06             2.44           1.0221         585
         4512.994365            0.239            4.788           1.0022        7.247e-04             1.62          -2.2601         586
         4513.430994            0.170            3.773           1.0003       -8.935e-05             1.38           1.4118         587
         4514.782880            0.029            3.668           1.0013        1.444e-08             2.42           1.0031         588
         4515.169576            0.205            2.286           0.9977       -2.329e-03             4.47          11.5344         589
         4515.340966            0.963            5.910           1.0555       -3.589e-05            27.94           1.4266         590
         4515.866691            0.042            5.006           0.9998       -2.641e-06             3.00           1.0144         591
         4516.279420            0.138            4.573           1.0124       -4.388e-05             2.37           1.2009         592
         4516.667977            0.123            6.546           1.0028        4.509e-06             1.25           0.9883         593
         4517.145298            0.344            6.224           0.9967        5.683e-05             2.38           0.7571         594
         4517.533390            0.738            6.569           1.0321        2.364e-06             9.69           1.0510         595
         4518.027120            0.990            5.521           1.0105        2.501e-05            18.38           1.1233         596
         4518.336975            0.616            5.248           1.0432       -2.414e-04            13.12           2.2068         597
         4520.519409            0.072            5.642           1.0004        5.896e-06             0.72           0.9826         598
         4520.800878            0.014            4.984           1.0017       -1.911e-04             2.03           1.8684         599
         4521.129652            0.154            4.829           1.0001        6.978e-06             2.07           0.9727         600
         4523.077157            0.161            4.684           0.9982        9.445e-06             1.44           0.9649         601
         4523.403699            0.530            4.987           1.0023        1.275e-06             1.35           1.0056         602
         4524.692192            0.257            4.592           1.0125       -2.658e-04             5.05           2.2401         603
         4525.873215            0.239            4.537           1.0056       -8.730e-04             0.83           4.9695         604
         4526.104305            0.236            4.451           0.9997        8.251e-06             0.30           0.9777         605
         4526.927800            0.803            6.836           0.9903        1.090e-05             7.80           1.0128         606
         4529.846479            0.220            3.204           0.9971        1.536e-03             5.58          -5.9227         607
         4531.627282            0.724            6.049           0.9994        2.226e-05             8.11           1.0010         608
         4534.783056            1.681            6.544           0.9965        1.042e-04            44.87           1.4095         609
         4535.140587            0.452            4.698           1.0061       -9.350e-07             4.02           1.0727         610
         4535.321580            0.139            3.283           1.0026        2.007e-04             0.79           0.1096         611
         4537.674981            0.219            4.301           1.0032       -1.505e-05             1.37           1.0789         612
         4537.967109            0.044            6.105           1.0019       -2.930e-05             0.99           1.1367         613
         4539.086851            0.062            3.792           1.0013        1.330e-07             0.93           1.0106         614
         4539.241336            0.091            3.981           1.0001        1.464e-06             0.08           1.0102         615
         4540.498430            0.700            4.726           0.9603       -1.004e-03            16.99           5.6699         616
         4540.706078            0.688            5.106           1.0272        5.426e-06            11.41           1.0639         617
         4541.064865            0.341            4.500           1.0122       -1.050e-04             2.26           1.5052         618
         4541.314570            0.227            3.875           1.0018       -1.542e-05             2.51           1.1002         619
         4541.519555            0.813            5.533           1.0061        2.202e-05            18.39           1.1007         620
         4541.942327            0.112            4.059           0.9975        4.483e-06             0.75           0.9985         621
         4543.811760            0.188            4.353           0.9858        8.343e-04             7.40          -2.7520         622
         4545.956034            0.891            5.811           1.0054        9.017e-05             6.58           0.6207         623
         4546.471794            0.079            4.622           1.0017       -2.037e-06             0.77           1.0208         624
         4546.689850            0.100            4.278           1.0005        2.139e-07             0.13           1.0089         625
         4547.228604            0.473            4.614           1.0108        3.048e-07            10.08           1.0775         626
         4547.850420            0.903            6.111           1.0114        6.795e-06             8.57           1.0531         627
         4548.768216            0.889            5.314           1.0102        1.257e-05             9.79           1.0578         628
         4550.117754            0.197            4.770           1.0000        9.684e-06             4.72           1.0090         629
         4550.769896            0.808            6.219           1.0119       -1.175e-05            13.64           1.1821         630
         4551.233296            0.280            5.968           1.0109       -1.083e-04             2.70           1.5046         631
         4551.651024            0.363            4.702           1.0047        4.958e-06             3.09           1.0289         632
         4552.868467            0.012            3.642           0.9987        7.397e-05             2.81           0.6663         633
         4554.459279            0.389            5.229           1.0179       -6.051e-05             7.46           1.3408         634
         4555.294318            0.045            0.119           1.0019       -1.246e-05             0.77           1.0620         635
         4555.490944            0.893            5.215           1.0079       -9.476e-06            14.91           1.2269         636
         4556.929316            0.326            4.595           1.0040       -1.835e-05             2.99           1.1256         637
         4557.281722            0.295            6.285           1.0054       -2.737e-03             0.95          13.4910         638
         4558.647983            0.958            5.955           1.0160        3.200e-05            25.69           1.1471         639
         4560.277249            0.152            4.325           0.9954        1.385e-05             2.18           0.9716         640
         4560.715117            0.112            3.711           1.0008        1.665e-06             0.26           1.0129         641
         4560.869480            0.192            3.867           1.0090       -6.191e-04             4.74           3.8570         642
         4561.196648            0.075            4.770           1.0011        3.523e-07             2.15           1.0075         643
         4561.415515            0.416            5.103           1.0068       -6.660e-05             3.67           1.3569         644
         4561.735429            0.054            4.732           1.0003        2.439e-06             2.70           0.9933         645
         4561.950447            0.011            3.837           1.0001        3.973e-05             3.45           0.8199         646
         4562.365979            0.278            4.471           1.0083       -2.942e-05             1.53           1.1436         647
         4562.633060            0.142            4.093           1.0012        5.920e-06             2.33           0.9795         648
         4563.238152            0.087            3.895           1.0033        3.851e-07             0.80           1.0106         649
         4563.422300            0.126            4.590           0.9969        9.552e-06             0.73           0.9760         650
         4563.764523            1.062            8.568           1.0325        1.707e-05            23.82           1.1347         651
         4564.170822            0.130            5.900           0.9993        2.957e-06             2.19           1.0341         652
         4564.345578            0.060            2.120           1.0012       -1.258e-05             0.68           1.0642         653
         4566.230543            0.077            7.003           0.9988        2.767e-06             2.41           0.9981         654
         4566.520240            0.554            4.843           1.0183       -5.639e-04             2.78           3.6046         655
         4567.410656            0.041            4.640           1.0005       -4.214e-07             3.03           1.0055         656
         4567.608794            0.016            4.431           0.9991        7.338e-06             3.24           0.9687         657
         4568.328611            0.322            5.285           1.0100       -3.519e-04             1.86           2.6274         658
         4569.598320            0.322            9.738           1.0079        2.579e-03             9.45         -10.6506         659
         4570.021262            0.055            7.030           0.9986        1.403e-05             3.20           0.9396         660
         4570.387994            0.013            7.463           1.0019       -1.785e-03             2.52           9.1633         661
         4571.100161            1.730            7.302           0.9990        9.929e-05            43.05           1.4574         662
         4571.440097            0.233            4.346           0.9959        5.015e-05             2.24           0.7902         663
         4571.676219            0.538            4.405           1.0236       -8.000e-05            13.07           1.4550         664
         4571.976945            1.105            8.070           0.9812        2.946e-05            25.04           1.0575         665
         4572.278125            0.188            3.632           0.9945        2.878e-03             4.75         -12.1338         666
         4572.604180            0.014            3.213           1.0003       -3.145e-03             0.64          15.3837         667
         4572.863129            0.168            4.804           0.9992        1.686e-05             1.66           0.9391         668
         4573.983451            0.032            3.611           1.0008       -1.655e-06             2.57           1.0096         669
         4574.220428            0.492            4.953           1.0039        5.273e-06             3.33           1.0286         670
         4574.478084            0.043            5.427           0.9993        2.678e-06             2.90           0.9949         671
         4574.723627            0.751            4.900           1.0142       -7.790e-05             5.93           1.4320         672
         4575.111242            0.121            4.337           1.0013        1.980e-06             2.52           0.9922         673
         4576.335780            0.821            5.607           1.0035        2.245e-05            18.03           1.1106         674
         4577.178252            0.351            4.714           0.9984        2.130e-04             2.08           0.0359         675
         4577.481580            0.014            3.919           1.0006        5.720e-06             1.57           0.9770         676
         4579.052740            0.097            5.746           0.9972        2.439e-05             1.35           0.9007         677
         4579.329645            0.329            4.563           1.0000       -9.882e-06             1.96           1.0857         678
         4579.513762            0.027            3.159           1.0020       -3.635e-05             2.12           1.1718         679
         4580.588405            0.504            4.705           1.0004        2.185e-05            10.58           0.9979         680
         4580.886319            0.018            3.661           1.0000        1.329e-06             2.96           0.9976         681
         4581.199200            0.229            4.275           1.0135       -1.726e-05             5.80           1.1282         682
         4582.306050            0.166            5.502           1.0075       -1.016e-05             2.29           1.0842         683
         4582.832797            0.642            5.308           1.0226       -3.600e-05             7.96           1.2356         684
         4583.127995            0.144            4.283           0.9994        4.048e-06             1.03           0.9888         685
         4583.413167            0.378            4.896           1.0055       -1.887e-05             1.42           1.0990         686
         4583.831452            0.978            8.491           0.9924        2.377e-05            29.60           1.1179         687
         4585.077214            0.067            2.964           1.0010        3.724e-05             0.60           0.8300         688
         4585.341057            0.220            4.711           1.0013        2.981e-06             0.74           0.9971         689
         4585.894895            1.069           11.457           1.0133       -1.178e-03            31.40           6.7932         690
         4587.131661            0.758            4.750           1.0052        2.117e-05            17.10           1.0994         691
         4587.384299            0.016            2.458           1.0005       -1.550e-05             1.84           1.0736         692
         4588.200050            0.832            6.080           1.0007        2.008e-05            15.08           1.0912         693
         4588.685750            0.159            5.607           1.0044        1.139e-06             2.68           1.0001         694
         4589.008631            0.037            5.368           1.0014       -8.024e-06             2.55           1.0425         695
         4589.295869            0.058            5.043           1.0030       -3.889e-06             2.01           1.0206         696
         4589.949375            0.848            6.510           1.0215        7.932e-06             7.85           1.0385         697
         4590.789636            0.336            5.197           0.9942       -1.959e-05             2.07           1.1119         698
         4591.106251            0.035            3.022           1.0013       -5.358e-05             0.74           1.2498         699
         4591.819637            0.016            3.706           0.9972        3.368e-06             2.43           0.9889         700
         4592.052764            0.552            5.711           1.0114        1.046e-05             8.11           1.0501         701
         4592.359486            0.068            3.914           1.0207        3.529e-06             6.54           1.0165         702
         4593.173602            0.095            5.373           1.0023        3.026e-06             2.98           0.9884         703
         4593.528534            0.329            5.031           1.0011       -1.698e-06             1.80           1.0186         704
         4594.119427            0.657            6.688           0.9840        3.109e-05            18.75           1.1361         705
         4594.636819            0.105            6.097           1.0029       -7.729e-06             0.48           1.0545         706
         4594.897088            0.319            5.621           1.0021       -1.149e-04             3.75           1.5622         707
         4595.361708            0.815            4.738           1.0213       -1.607e-04            26.25           1.9342         708
         4595.590517            0.229            3.512           1.0108        2.601e-06            10.60           1.0087         709
         4596.410662            0.412            5.069           0.9990        1.506e-05             9.96           1.0574         710
         4596.910449            0.134            7.124           1.0085       -1.254e-05             1.11           1.0798         711
         4598.121803            0.860            5.907           1.0091        1.307e-05            11.92           1.0606         712
         4598.374221            0.136            5.512           1.0062        5.925e-05             4.36           0.7639         713
         4598.741643            0.176            4.610           0.9961        3.014e-06             0.79           1.0008         714
         4598.995034            0.026            5.444           0.9986        7.002e-06             2.71           0.9735         715
         4599.225440            0.089            4.801           1.0016       -1.081e-06             2.62           1.0140         716
         4600.361339            0.684            4.828           0.9944        1.143e-05             8.88           0.9973         717
         4600.752954            1.129            5.585           1.0157        3.390e-05            22.36           1.1577         718
         4601.543448            0.012            1.719           1.0001        9.317e-06             2.05           0.9587         719
         4602.003582            0.813            5.401           1.0043       -7.118e-06             2.85           1.0511         720
         4602.508487            0.020           13.492           1.0059       -7.035e-06             1.18           1.0431         721
         4602.943749            1.002            7.476           1.0147        1.124e-05            13.41           1.0533         722
         4604.237960            0.058            4.960           0.9978        2.770e-07             3.10           1.0039         723
         4604.556987            0.490            5.432           1.0140       -6.227e-05             2.61           1.3126         724
         4604.991049            0.797            6.277           1.0190        7.699e-06             9.83           1.0202         725
         4605.362377            0.195            5.458           1.0199       -2.163e-04            11.39           2.0422         726
         4605.586072            0.542            4.759           0.9927        8.862e-06            11.59           1.0352         727
         4605.829347            0.052            4.904           0.9963        1.282e-03             0.53          -4.8900         728
         4606.790217            0.025            7.106           1.0011       -3.956e-06             3.69           1.0231         729
         4607.087544            0.041            3.549           1.0007       -7.374e-06             3.60           1.0354         730
         4607.331998            0.597            4.459           1.0070       -3.017e-05             1.63           1.1625         731
         4607.647636            0.865            6.566           0.9990        8.521e-06             7.65           1.0383         732
         4608.109690            0.026            4.362           1.0010        8.371e-05             3.50           0.6169         733
         4608.713560            0.023            4.098           1.0030       -3.262e-03             2.13          16.0400         734
         4609.271666            0.130            5.424           1.0114       -1.677e-05             3.45           1.0793         735
         4609.912614            0.259            5.473           1.0047       -1.008e-04             0.93           1.4912         736
         4610.186259            0.142            4.926           1.0038       -2.836e-05             1.37           1.1429         737
         4611.264348            0.927           10.203           0.9676        1.650e-04            29.28           0.5060         738
         4611.644505            0.019            2.253           1.0003        2.952e-05             0.49           0.8619         739
         4614.204633            0.325            5.258           0.9966        1.806e-04             1.62           0.1852         740
         4615.565000            0.371            4.616           1.0067        1.684e-06             1.44           1.0120         741
         4617.272422            0.724            5.275           1.0077       -1.762e-05             2.00           1.0935         742
         4618.349874            0.028            4.078           1.0020       -1.958e-03             3.25          10.0438         743
         4618.788807            0.824            7.568           1.0152        4.879e-06             7.86           1.0526         744
         4619.291617            0.911            6.091           1.0097        1.331e-05            11.70           1.0750         745
         4620.514415            0.577            5.344           0.9988        9.167e-03             1.79         -41.3337         746
         4621.925545            0.445            7.923           1.0126       -1.813e-04             3.31           1.8765         747
         4622.453832            0.450            5.537           1.0299       -1.338e-04             6.40           1.6756         748
         4622.747299            0.238            4.435           1.0019        3.799e-05             0.36           0.8331         749
         4623.097704            0.610            5.428           0.9800        9.247e-04             3.86          -3.2546         750
         4623.581695            0.155            6.129           1.0029       -1.217e-03             1.83           6.6440         751
         4624.082916            0.092            4.980           1.0002        1.608e-06             1.83           1.0081         752
         4624.725072            0.019            3.157           1.0007       -6.297e-06             3.04           1.0337         753
         4625.049313            0.944            6.404           1.0018        1.771e-05            15.24           1.0805         754
         4626.177236            0.942            5.768           1.0067        1.088e-05             8.24           1.0506         755
         4626.536251            0.276            5.124           1.0032       -1.424e-04             0.58           1.6812         756
         4626.786892            0.061            4.490           1.0014        1.741e-06             2.21           0.9991         757
         4628.162261            0.225            4.407           1.0089       -1.389e-04             2.96           1.6475         758
         4628.460163            0.071            4.696           1.0038       -6.967e-04             1.59           4.2357         759
         4629.341609            1.301            7.320           1.0140        6.632e-05            37.39           1.3213         760
         4630.558069            0.185            4.732           0.9999        7.419e-06             0.70           0.9819         761
         4630.778888            0.038            3.283           1.0004        6.525e-06             2.96           0.9710         762
         4631.039479            0.080            7.093           1.0038        3.650e-05             1.17           0.8777         763
         4631.486256            0.151            4.590           1.0013        2.510e-06             2.89           1.0007         764
         4632.892660            1.122           10.437           1.0344        5.855e-05            33.59           1.2455         765
         4633.259407            0.114            4.036           0.9999        2.652e-06             2.48           0.9935         766
         4633.764518            0.208            6.869           1.0034        8.018e-06             6.06           1.0574         767
         4634.076106            0.595            5.968           1.0053       -6.328e-05             6.30           1.3422         768
         4634.716342            0.425            4.875           1.0022        1.011e-05            11.00           1.0745         769
         4635.605409            0.151            6.930           1.0038        3.886e-06             1.46           1.0260         770
         4635.850041            0.688            4.838           1.0082       -3.195e-05             1.42           1.1828         771
         4636.676904            0.056            3.848           1.0017        4.493e-05             3.62           0.7929         772
         4637.509679            0.922            6.365           1.0101        1.596e-05            16.06           1.0752         773
         4638.014381            1.183            5.860           0.9828        5.409e-05            36.72           1.2439         774
         4638.957119            0.188            4.909           1.0022       -2.789e-06             0.49           1.0454         775
         4640.499534            0.087            5.363           0.9906        8.993e-05             2.03           0.6115         776
         4641.215913            0.257            5.643           1.0096       -8.005e-05             6.04           1.4079         777
         4643.196308            0.074            3.861           1.0020       -1.774e-05             0.59           1.0884         778
         4643.466701            0.790            5.731           1.0098       -1.431e-05             7.57           1.1277         779
         4645.192567            0.262            4.543           1.0017        3.746e-06             2.25           0.9935         780
         4645.497477            0.081            8.373           1.0032       -1.125e-05             2.32           1.0755         781
         4646.167432            1.385            6.421           1.0143        4.249e-05            35.22           1.3285         782
         4646.779200            0.188            4.026           0.9913        2.970e-05            11.01           0.9149         783
         4650.015023            0.201            3.776           1.0071       -1.282e-03             3.55           6.9841         784
         4650.313148            0.151            5.014           0.9965        2.790e-05             1.39           0.8920         785
         4650.550651            0.080            5.122           1.0021       -2.043e-07             1.35           1.0128         786
         4650.819648            0.045            4.410           1.0001       -1.835e-05             1.22           1.0929         787
         4652.164204            0.927            6.912           1.0344        6.488e-06             9.25           1.0509         788
         4654.153514            0.225            4.595           0.9987       -4.246e-05             0.20           1.2056         789
         4656.470491            0.796            5.375           1.0096       -7.743e-05             4.90           1.3997         790
         4656.978918            0.426            4.987           1.0034       -9.005e-07             4.02           1.0526         791
         4657.203513            0.633            4.957           1.0031       -7.050e-06             6.05           1.0990         792
         4657.588034            0.396            4.427           0.9993        6.626e-05             0.69           0.7077         793
         4658.299550            0.199            4.663           1.0035       -6.247e-05             0.91           1.3092         794
         4658.847512            0.164           38.359           0.9790        1.986e-04             8.62           0.2245         795
         4660.427935            0.248            4.964           1.0063       -1.243e-03             2.13           6.8382         796
         4662.509371            0.086            4.125           0.9982       -7.990e-07             2.21           1.0077         797
         4662.757033            0.122            6.512           1.0022       -2.163e-06             1.14           1.0425         798
         4664.789903            0.551            7.146           1.0045       -3.721e-04             2.30           2.7703         799
         4665.190908            0.078            6.850           1.0031        6.409e-06             2.73           0.9761         800
         4665.554698            0.051            3.432           1.0059       -6.153e-06             1.26           1.0437         801
         4665.903692            0.315            6.264           0.9859        7.397e-05            15.07           0.7592         802
         4666.984396            0.357            4.953           0.9928        3.746e-06            13.18           1.0328         803
         4667.251979            0.379            4.207           0.9727        6.172e-03            20.00         -27.7378         804
         4667.763095            0.482            4.069           1.0022        6.512e-04            10.24          -1.9688         805
         4669.641832            0.084            5.581           0.9929        4.150e-05             1.00           0.8263         806
         4670.171533            0.335            5.027           0.9955        2.668e-05             3.36           0.9168         807
         4670.408968            0.729            5.361           1.0149        1.052e-05             8.97           1.0541         808
         4670.724262            0.010            1.675           0.9998        6.481e-06             4.19           0.9709         809
         4671.417714            0.300            5.167           0.9996       -2.200e-03             1.04          11.3002         810
         4672.836873            0.356            5.383           1.0032       -8.593e-05             1.15           1.4170         811
         4673.783425            0.050            7.940           1.0002       -8.623e-06             0.32           1.0510         812
         4674.093501            0.376            5.971           0.9971        2.311e-05            10.88           1.0048         813
         4674.296249            0.179            3.808           1.0003        6.849e-05             1.06           0.7068         814
         4675.108587            0.383            5.584           0.9995        3.705e-06             2.35           1.0216         815
         4675.373998            0.053            4.275           0.9969        2.176e-05             1.31           0.9077         816
         4675.606156            0.156            6.029           1.0050       -1.061e-05             1.68           1.0841         817
         4681.468853            0.327            5.402           1.0029       -8.947e-04             0.80           5.2174         818
         4681.914814            0.972            5.334           1.0292       -8.415e-06            17.51           1.2535         819
         4682.114520            0.501            4.337           1.0082        8.130e-06            12.78           1.0382         820
         4682.343987            0.347            5.154           1.0055        1.276e-05             7.55           0.9851         821
         4682.561192            0.258            4.216           0.9970        2.481e-05             3.10           0.9140         822
         4683.967364            0.028            4.066           1.0027       -1.121e-07             0.78           1.0077         823
         4684.594060            0.268            4.798           0.9941       -2.777e-06             4.39           1.0332         824
         4685.033270            0.187            4.978           1.0055       -1.917e-04             5.35           1.9535         825
         4685.267730            0.597            6.060           0.9901       -1.348e-04             9.89           1.7221         826
         4686.215891            0.682            5.153           1.0015        2.232e-05            10.23           0.9732         827
         4687.388194            0.425            7.515           0.9574        6.480e-04            17.42          -1.9342         828
         4688.674088            1.758           23.719           0.9243        1.728e-03            93.92           8.2355         829
         4690.140526            0.683            5.243           1.0058       -2.369e-06             3.24           1.0609         830
         4690.964754            0.017            6.446           1.0016        9.813e-07             0.89           1.0041         831
         4691.954661            0.035            7.458           0.9934       -1.570e-06             0.86           1.0319         832
         4692.642973            0.129           10.392           0.9977        3.768e-05            10.10           0.9054         833
         4695.142419            0.156            5.171           0.9935        7.772e-06             2.03           0.9907         834
         4695.447633            0.078            6.413           1.0013       -8.911e-05             0.29           1.4568         835
         4697.401024            0.087            4.820           1.0029        1.808e-06             3.03           1.0055         836
         4699.334505            0.663            6.040           1.0072        8.568e-06            11.60           1.0518         837
         4700.423983            0.048            3.127           0.9984        1.420e-05             0.40           0.9411         838
         4700.613900            0.207            4.388           1.0024       -1.317e-06             1.26           1.0315         839
         4701.052027            0.475            4.169           1.0266        4.305e-06            15.85           1.0546         840
         4701.906467            0.084            9.112           1.0041       -1.365e-05             6.08           1.1056         841
         4702.296237            0.136            5.014           1.0045       -1.658e-06             7.45           1.0489         842
         4702.995490            1.293           14.009           1.0006        8.614e-05            50.95           1.1578         843
         4703.570935            0.043            2.299           0.9943        2.538e-03             9.98         -10.9236         844
         4703.810217            0.640            5.570           0.9947        8.351e-06            13.00           1.0368         845
         4704.173001            0.026            4.423           1.0016        9.122e-07             1.33           0.9982         846
         4704.471447            0.178            6.960           0.9993        2.000e-05             4.49           0.9359         847
         4704.951640            0.714            5.430           1.0128       -2.396e-04             6.74           2.1733         848
         4705.466180            0.385            5.248           1.0042       -1.065e-05             8.47           1.1026         849
         4706.303798            0.088            4.002           1.0005        1.430e-06             0.24           1.0006         850
         4706.554047            0.337            4.983           1.0117        1.620e-06             5.71           1.0375         851
         4707.751404            0.056            2.848           1.0007       -2.295e-06             0.37           1.0139         852
         4708.015529            0.653            5.474           1.0037        4.310e-06             6.83           1.0421         853
         4708.294178            0.022            2.735           1.0016       -2.515e-05             0.60           1.1236         854
         4708.665303            0.644            5.014           1.0019        1.840e-05            11.52           1.0355         855
         4709.497994            0.020            3.033           1.0009       -1.951e-05             2.27           1.0939         856
         4709.712886            0.792            5.930           1.0054        1.574e-05            10.82           1.0747         857
         4711.001601            0.024           13.180           0.9991        2.046e-04             1.41           0.0490         858
         4711.486344            0.347            5.205           1.0118       -1.225e-04             3.00           1.6048         859
         4713.804164            0.054            3.744           1.0014       -2.332e-05             2.99           1.1174         860
         4714.416710            1.215            7.997           1.0406        5.420e-05            46.59           1.2556         861
         4714.922260            0.037            6.829           1.0001        3.565e-05             7.65           0.8391         862
         4715.288447            0.101            6.755           0.9904        8.638e-03             3.69         -39.7052         863
         4715.768539            0.979            5.468           1.0304        1.974e-05            31.08           1.2647         864
         4716.492167            0.023            5.729           0.9991        6.688e-06             1.56           0.9700         865
         4716.838203            0.074            4.396           1.0000        2.126e-08             1.23           1.0019         866
         4717.581288            0.315            4.930           1.0118       -9.262e-03             8.40          44.7399         867
         4717.883197            0.078            3.491           1.0015        3.000e-05             0.35           0.8564         868
         4718.423451            0.673            5.716           1.0072       -2.878e-03             3.07          14.6028         869
         4719.214492            0.037            6.133           0.9982        2.605e-04             1.71          -0.2222         870
         4720.996460            0.505            5.506           1.0033        2.795e-06             3.70           1.0151         871
         4721.318917            0.026            4.182           1.0013        2.412e-06             1.36           0.9975         872
         4721.512607            0.016            2.739           1.0003       -9.700e-06             2.02           1.0484         873
         4722.160769            0.693            5.812           1.0088       -1.127e-05             4.67           1.0881         874
         4722.612280            0.212            4.436           1.0018        1.471e-06             2.99           1.0381         875
         4723.131317            0.262            9.267           0.9924        2.782e-05             8.05           0.9589         876
         4724.408691            0.275            5.632           0.9994       -1.300e-04             4.69           1.6441         877
         4724.859087            0.043            5.238           0.9998        2.583e-06             1.96           0.9937         878
         4725.468901            0.042            4.163           1.0022       -3.166e-05             1.22           1.1573         879
         4725.941390            0.081            4.254           1.0042        6.273e-07             0.58           1.0099         880
         4726.141615            0.204            4.073           1.0026        1.201e-05             0.99           0.9617         881
         4728.165838            0.228            4.410           1.0069       -5.178e-04             1.16           3.4610         882
         4728.548363            0.863            5.703           0.9826        3.772e-03            17.05         -16.6851         883
         4728.761325            0.015            0.237           0.9987        1.043e-04             0.21           0.5104         884
         4729.022587            0.473            4.436           1.0068       -2.223e-05             4.98           1.1455         885
         4729.270358            0.146            5.418           0.9880        1.011e-04             6.63           0.5567         886
         4729.682141            0.365            6.296           1.0052        2.502e-04             5.98          -0.1584         887
         4730.035929            0.526            6.885           1.0035        5.148e-04             7.04          -1.3985         888
         4730.416948            0.100            5.460           0.9990        1.360e-06             0.33           1.0010         889
         4730.715435            0.536            5.140           1.0134       -4.396e-07             2.55           1.0220         890
         4731.468605            0.777            6.890           1.0032        7.028e-06             5.38           1.0324         891
         4731.800746            0.470            5.110           1.0131       -3.522e-04             1.93           2.6846         892
         4732.459956            0.497            4.904           1.0037        4.458e-05             0.67           0.8019         893
         4732.845459            0.034           10.156           0.9999       -2.020e-05             2.07           1.1071         894
         4733.197746            0.026            3.566           1.0001       -6.162e-06             2.56           1.0327         895
         4733.595739            1.088            5.705           0.9980        3.127e-05            22.56           1.1475         896
         4734.854358            0.057            5.008           1.0070        2.569e-05             0.93           0.8899         897
         4735.655812            0.018           66.187           1.0006       -2.247e-06             0.55           1.0147         898
         4735.845993            0.835            4.999           1.0090        2.716e-05            22.84           1.1320         899
         4736.031903            0.068            1.810           0.9967        3.196e-05             4.00           0.8592         900
         4736.780335            1.171            8.298           1.0158       -1.362e-05            38.39           1.4505         901
         4737.353263            0.603            5.533           0.9970        7.369e-05             4.36           0.6959         902
         4737.636599            0.374            5.495           1.0181       -2.372e-05             5.74           1.1565         903
         4738.353941            0.031           16.955           1.0010       -8.626e-06             1.19           1.0618         904
         4739.115837            0.827            5.717           0.9990        3.430e-05            24.13           1.1835         905
         4741.531996            0.772            5.526           1.0101        1.729e-05             2.13           0.9276         906
         4742.557222            0.083            4.880           1.0031       -4.070e-06             1.63           1.0271         907
         4743.823197            0.074            5.933           1.0011       -5.480e-06             2.52           1.0300         908
         4744.383469            0.572            6.209           0.9977        9.562e-06            11.72           1.0473         909
         4745.132512            0.152            3.964           1.0049       -1.345e-05             1.14           1.0829         910
         4745.306733            0.157            4.042           0.9993        1.236e-05             0.26           0.9600         911
         4745.802231            0.768            5.959           0.9962        2.170e-05             5.31           0.9435         912
         4747.677335            0.045            3.737           1.0014       -3.202e-05             1.66           1.1554         913
         4748.135646            0.686            6.176           0.9953        1.195e-05            12.03           0.9950         914
         4748.733395            0.050            4.207           1.0007        3.648e-06             2.77           0.9832         915
         4749.663547            0.225            9.138           0.9989        1.451e-05             5.63           1.0074         916
         4749.948183            0.380            4.989           1.0013        1.429e-03             1.52          -5.7677         917
         4752.105257            0.470            5.562           1.0049       -2.397e-05             2.62           1.1367         918
