wmask fmask
6751.42731513008 -1.0
6760.892406336724 -1.0
6761.428067202267 -1.0
6763.331244096996 -1.0
6764.352479302209 -1.0
6767.3188541011305 -1.0
6769.126296744225 -1.0
6769.387384488956 -1.0
6770.104980392973 -1.0
6770.172808141355 -1.0
6772.172476052849 -1.0
6772.243968814853 -1.0
6773.096290463117 -1.0
6773.769482312955 -1.0
6773.895140499358 -1.0
6774.079467898322 -1.0
6774.38677020563 -1.0
6775.1017158188515 -1.0
6775.362308695021 -1.0
6777.5139027123505 -1.0
6777.596972358642 -1.0
6779.079514411237 -1.0
6779.3236397176515 -1.0
6781.538177787308 -1.0
6781.664171882238 -1.0
6781.784058620647 -1.0
6781.903107584485 -1.0
6782.027979981216 -1.0
6782.1675514224025 -1.0
6782.30945323646 -1.0
6782.463828693821 -1.0
6782.607774957666 -1.0
6782.780324524293 -1.0
6782.928881547326 -1.0
6783.094155071886 -1.0
6783.661642359689 -1.0
6784.793819686982 -1.0
6784.928463453799 -1.0
6785.581394747066 -1.0
6786.362693495457 -1.0
6787.736458806352 -1.0
6790.3929709159265 -1.0
6792.67355218557 -1.0
6793.119187259438 -1.0
6793.298144099787 -1.0
6793.496120821596 -1.0
6793.713349362433 -1.0
6794.673287029488 -1.0
6794.7983683682405 -1.0
6794.966990989355 -1.0
6795.049426804626 -1.0
6795.482270319743 -1.0
6795.797630451326 -1.0
6796.782547393844 -1.0
6797.462814322111 -1.0
6797.833518558904 -1.0
6800.465440256896 -1.0
6801.046883777965 -1.0
6802.415795373012 -1.0
6802.785564859362 -1.0
6803.178032237012 -1.0
6803.303806388146 -1.0
6803.478473381007 -1.0
6804.738037400686 -1.0
6805.467821996524 -1.0
6805.749436206605 -1.0
6807.043121040291 -1.0
6807.11344811328 -1.0
6807.317912086198 -1.0
6807.809344827451 -1.0
6809.510068111657 -1.0
6809.67726011509 -1.0
6811.500000556987 -1.0
6811.963470821651 -1.0
6812.4913307566185 -1.0
6812.775311327677 -1.0
6671.279591597456 -1.0
6671.360487838338 -1.0
6671.826319540799 -1.0
6672.1128034833755 -1.0
6672.406060604029 -1.0
6680.081536044121 -1.0
6683.367134258559 -1.0
6686.215325120109 -1.0
6687.418694421472 -1.0
6687.52386213195 -1.0
6689.7811209390065 -1.0
6689.957629458723 -1.0
6691.391507748271 -1.0
6692.127923652913 -1.0
6692.226671089875 -1.0
6692.726244704515 -1.0
6693.206639477995 -1.0
6694.006015444727 -1.0
6694.496216579565 -1.0
6694.676839991406 -1.0
6695.01622569569 -1.0
6695.180614474593 -1.0
6696.14047026976 -1.0
6698.874241869084 -1.0
6700.517784742236 -1.0
