   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    4    no      111.1       24.5       30.2       43.1      0.975     2153.0     2100.0 
    5    no  6585193.3       14.7        0.0       45.7      1.902     2100.0     3994.0 
    6    no  6585272.4       15.0        0.0       46.4      2.879     3994.0    11497.0 
    7    no  6585339.3       13.1        0.0       47.0      0.347    11497.0     3994.0 
    8    no  6585495.8       12.7        0.0       48.4      7.885     1458.0    11497.0 
   10    no  6585805.4       17.7        0.0       51.3     24.809     2046.0    50759.0 
   11    no  6586001.0       18.9        0.0       53.0      0.122    14045.0     1711.0 
   12    no  6586136.5       15.6        0.0       54.3      8.209     1711.0    14045.0 
   13    no  6586380.7       12.0        0.0       56.5      6.271      689.0     4321.0 
   14    no  6586455.3       13.8        0.0       57.2      0.159     4321.0      689.0 
   15    no      110.8        0.6        7.0       58.7      0.555     7792.0     4321.0 
   16    no  6587104.0       12.0        0.0       63.1      2.412      924.0     2229.0 
   17    no  6587166.1       12.8        0.0       63.6      0.415     2229.0      924.0 
   18    no  6587320.1       10.1        0.0       65.1      1.204     1851.0     2229.0 
   19    no      109.8        1.3        0.0      113.2     94.080     2455.0   230966.0 
   21    no  6593607.9       33.8        0.0      123.0     30.754     7510.0   230966.0 
   22    no      109.5        2.4        0.0      130.8     11.364     4359.0    49536.0 
   23    no       14.3        0.1       18.8      132.8      0.088    49536.0     4359.0 
   24    no       20.4        0.0        7.6      134.9     13.505     3668.0    49536.0 
   25    no       16.2        0.0       10.1      140.3      0.065    12004.0      783.0 
   26    no  6595568.6        9.4        0.0      141.3     15.331      783.0    12004.0 
   27    no  6595687.9        6.2        0.0      142.4      0.770     1201.0      925.0 
   28    no  6595796.3        5.5        0.0      143.4      1.298      925.0     1201.0 
   30    no       94.3        0.2       14.8      149.2     99.241     1127.0   111845.0 
   31    no       90.6        0.1       11.6      154.3      0.087    15951.0     1393.0 
   32    no  6597053.1       11.9        0.0      155.2     11.451     1393.0    15951.0 
   33    no       16.3        0.3        3.7      158.2      0.113    12351.0     1393.0 
   34    no  6598032.5        5.7        0.0      164.4      0.677      954.0      646.0 
