 # ID       Xpix           Wavelength          Intens       Line 
    8     1980.6        5852.68060000             1.0        ThI 
   16      441.4        5791.70360000             1.0        ThI 
   17      458.8        5792.43040000             1.0        ThI 
   18      546.8        5796.06830000             1.0        ThI 
   19      577.2        5797.31940000             1.0        ThI 
   20      605.4        5798.47800000             1.0        ThI 
   21      662.6        5800.82970000             1.0        ThI 
   22      693.3        5802.07980000             1.0        ArI 
   24      782.1        5805.70170000             1.0        ThI 
   25      830.9        5807.68140000             1.0        ThI 
   26      855.1        5808.65690000             1.0        ThI 
   27      934.0        5811.84450000             1.0        ThI 
   28      962.1        5812.97250000             1.0        ThI 
   29     1023.2        5815.42190000             1.0       ThII 
   30     1081.2        5817.73480000             1.0       ThII 
   31     1099.2        5818.44950000             1.0        ThI 
   32     1116.1        5819.12720000             1.0        ThI 
   33     1128.1        5819.60270000             1.0        ThI 
   34     1135.5        5819.90000000             1.0        ThI 
   35     1147.6        5820.37990000             1.0       ThII 
   36     1201.7        5822.52170000             1.0       ThII 
   37     1208.5        5822.79330000             1.0        ThI 
   38     1369.0        5829.10970000             1.0        ThI 
   40     1412.8        5830.82720000             1.0        ThI 
   41     1452.3        5832.37050000             1.0        ThI 
   51       72.2        5776.16780000             1.0        ThI 
   52      101.2        5777.40060000             1.0        ThI 
