   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    5    no  4795611.9        nan        0.0        nan      0.219     3142.0      687.0 
    6    no       13.1       77.7      415.7       24.5      0.038    83379.0     3142.0 
    7    no  4796242.9       42.7        0.0       28.5      0.125     8396.0     1053.0 
    8    no  4796301.4       37.7        0.0       29.2      7.973     1053.0     8396.0 
    9    no  4796831.8        8.6        0.0       35.7      1.541     1083.0     1669.0 
   10    no  4796896.2        5.5        0.0       36.5      0.649     1669.0     1083.0 
   11    no  4797423.0        8.7        0.0       43.0      8.789     1235.0    10854.0 
   12    no  4797497.3        8.2        0.0       43.9      0.125    10854.0     1354.0 
   13    no  4797569.0        3.1        0.0       44.8      8.016     1354.0    10854.0 
   14    no       64.0        2.9       21.0       49.8      0.194     7084.0     1376.0 
   15    no  4798102.6        4.5        0.0       51.4      0.605     1376.0      832.0 
   16    no  4798164.2        5.0        0.0       52.1      1.654      832.0     1376.0 
   17    no       81.6       19.7        2.6       57.5      0.280     2973.0      832.0 
   18    no  4799668.8        3.2        0.0       70.8      1.737     1024.0     1779.0 
   19    no  4799759.4        3.1        0.0       71.9      0.576     1779.0     1024.0 
   20    no  4800054.5       10.7        0.0       75.6     10.153     2444.0    24815.0 
   21    no       27.1        0.1      167.5       77.0      0.098    24815.0     2444.0 
   22    no       26.6      102.0       15.9       82.3     61.423      404.0    24815.0 
   23    no       22.2        0.1       19.5       88.0      0.381     6255.0     2385.0 
   24    no       57.2       12.4       13.0       91.7      2.623     2385.0     6255.0 
   25    no       33.2        0.6        8.8      100.7      7.591     1269.0     9633.0 
   26    no       12.1        0.1       32.8      108.3      0.132     9633.0     1269.0 
   27    no       20.8        0.0       57.6      124.5      0.083     8494.0      708.0 
   28    no  4804544.0        2.1        0.0      132.0     11.997      708.0     8494.0 
   29    no  4805245.8        4.3        0.0      140.9      0.214     5609.0     1198.0 
   30    no  4805360.5        2.1        0.0      142.3      4.682     1198.0     5609.0 
   31    no       80.3        2.8       45.9      156.4      0.213     4964.0     1055.0 
   32    no  4807082.1        3.6        0.0      164.3      1.712     1055.0     1806.0 
   33    no  4807172.5        4.8        0.0      165.5      0.279     1806.0      503.0 
   34    no  4807253.0        3.8        0.0      166.5      3.590      503.0     1806.0 
   35    no  4807334.6        3.1        0.0      167.5      1.254      401.0      503.0 
   36    no  4807461.3        2.4        0.0      169.2      1.068      885.0      945.0 
   37    no  4807550.4        2.3        0.0      170.3      0.937      945.0      885.0 
   38    no       20.5        0.2       12.7      185.9    276.694     1804.0   499156.0 
   39    no       12.9        0.6     1893.7      196.9      0.004   499156.0     1847.0 
   40    no  4809960.3        2.8        0.0      201.4      0.428     1847.0      791.0 
   41    no  4810064.1        2.0        0.0      202.7      2.335      791.0     1847.0 
   44    no  4810876.2        2.4        0.0      213.3      1.119      866.0      969.0 
