   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    3    no  4836695.9        nan        0.0        nan      0.037    25193.0      929.0 
    4    no       60.3       29.0      280.4        7.6     27.118      929.0    25193.0 
    5    no        3.4       13.5      135.4       11.6      2.265     3941.0     8926.0 
    6    no       82.6        3.4       85.1       13.6      0.442     8926.0     3941.0 
    7    no       82.5       31.2      168.9       17.1      4.183     2134.0     8926.0 
    8    no  4838296.3       78.2        0.0       24.4      8.209      541.0     4441.0 
    9    no  4838355.4       74.2        0.0       25.1      0.122     4441.0      541.0 
   10    no  4838559.2        4.3        0.0       27.6      0.417     5291.0     2206.0 
   11    no  4838676.9        4.2        0.0       29.0      2.398     2206.0     5291.0 
   12    no       82.3        7.5       17.1       34.2      4.210      524.0     2206.0 
   13    no  4839675.2        8.7        0.0       41.2      0.584     5574.0     3253.0 
   14    no  4839745.9        8.3        0.0       42.1      0.359     3253.0     1167.0 
   15    no  4839789.4        6.4        0.0       42.6      2.787     1167.0     3253.0 
   16    no       82.1       13.2       18.2       47.4     56.294      982.0    55281.0 
   17    no       17.3        0.0      410.3       51.1      0.018    55281.0      982.0 
   18    no       16.0        6.8     4943.7       55.6      0.022  1374945.0    29972.0 
   19    no  4840932.1      160.9        0.0       56.7     45.874    29972.0  1374945.0 
   20    no  4842051.9        5.5        0.0       70.5      5.334     2509.0    13384.0 
   21    no  4842168.5        8.0        0.0       71.9      0.187    13384.0     2509.0 
   22    no       81.7        2.1        6.4       79.3      7.813      993.0     7758.0 
   23    no  4843023.0        6.2        0.0       82.5      0.422     7758.0     3276.0 
   24    no  4843106.1        5.5        0.0       83.5      2.368     3276.0     7758.0 
   25    no  4843876.7      116.7        0.0       93.1      1.682   105290.0   177096.0 
   26    no  4843941.2      118.5        0.0       93.9      0.595   177096.0   105290.0 
   27    no  4844166.0       35.5        0.0       96.7      0.115    26931.0     3099.0 
   28    no  4844260.2       13.4        0.0       97.9      8.690     3099.0    26931.0 
   29    no  4844560.4       14.6        0.0      101.7      0.159    10468.0     1666.0 
   30    no  4844616.9       11.0        0.0      102.4      6.283     1666.0    10468.0 
   31    no       10.3        0.8       30.1      104.1      0.254     6571.0     1666.0 
   32    no       81.3       34.3       13.8      106.2      0.615    10680.0     6571.0 
   33    no       10.5        0.1      360.9      109.2      0.108    98443.0    10680.0 
   34    no       13.1        0.1        7.4      115.6      0.460     1168.0      537.0 
   35    no  4845805.7        3.2        0.0      117.3      2.361      537.0     1268.0 
   36    no  4845862.0        4.2        0.0      118.0      0.424     1268.0      537.0 
   37    no  4845940.9        5.5        0.0      118.9      0.598     2122.0     1268.0 
   38    no       81.1        0.1        6.9      120.9      3.872      548.0     2122.0 
   39    no       13.9        0.1        7.9      134.1     10.630     2044.0    21728.0 
   40    no       80.9        5.6      116.5      136.4      0.094    21728.0     2044.0 
   41    no       80.8       14.8        0.0      147.6     59.553     9889.0   588916.0 
   43    no       80.7        1.0        7.3      155.5      8.580     1084.0     9301.0 
   44    no  4849041.0       27.7        0.0      158.1     10.523     9301.0    97877.0 
   45    no       11.2        0.4      334.1      159.4      0.095    97877.0     9301.0 
   47    no       80.5        0.1       19.6      170.7     52.986     1804.0    95586.0 
   48    no       80.1      299.0        0.1      172.8      1.010     1787.0     1804.0 
   50    no       79.5        0.2        0.2      180.5    493.107      270.0   133139.0 
   53    no  4851807.4        2.5        0.0      193.5      0.825     1062.0      876.0 
   54    no  4851908.6        3.0        0.0      194.8      1.212      876.0     1062.0 
