   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    6    no  4715861.3      105.4        0.0       24.8      1.135     1609.0     1826.0 
    7    no  4715952.8       55.0        0.0       26.0      0.991     1826.0     1810.0 
    8    no  4715996.3       53.0        0.0       26.5      1.009     1810.0     1826.0 
    9    no  4716061.3       44.9        0.0       27.3      0.229     7910.0     1810.0 
   10    no       80.8        7.4       95.2       40.9     42.253      434.0    18338.0 
   11    no       80.8        3.3       43.2       43.8      0.059    18338.0     1081.0 
   12    no  4717482.3        6.3        0.0       45.0     16.964     1081.0    18338.0 
   13    no        8.5       28.4       25.1       50.6      0.289     2790.0      807.0 
   14    no       80.6        1.9       19.8       55.1      9.748      807.0     7867.0 
   15    no  4718514.7       21.7        0.0       57.9      1.947     7867.0    15317.0 
   16    no  4718616.2       11.2        0.0       59.2      0.514    15317.0     7867.0 
   17    no  4719193.4        4.4        0.0       66.4      3.569      786.0     2805.0 
   18    no  4719251.3        5.7        0.0       67.2      0.280     2805.0      786.0 
   19    no       57.9        1.8       41.9       69.5      0.059    12835.0      753.0 
   20    no       50.3        0.0       23.2       71.1     17.045      753.0    12835.0 
   21    no       74.4       10.4       17.0       72.7      0.074    10190.0      753.0 
   22    no  4719921.4       13.2        0.0       75.6      4.292     2536.0    10884.0 
   23    no  4719979.7       11.2        0.0       76.3      0.140    10884.0     1526.0 
   24    no  4720030.8        8.7        0.0       77.0      7.132     1526.0    10884.0 
   25    no       60.4       27.8        8.8       78.6      0.119    12853.0     1526.0 
   26    no       63.9        0.2      210.0       82.4      0.238    53905.0    12853.0 
   27    no       55.1        0.1       47.7       86.5      2.649    20346.0    53905.0 
   28    no       59.1       18.1      349.4       92.7      0.750   122609.0    91924.0 
   29    no       51.6        6.2      614.9       96.7      1.334    91924.0   122609.0 
   30    no       54.8        0.5      610.7      103.1      0.009   159604.0     1494.0 
   31    no  4722420.5        8.3        0.0      107.3      6.991     1494.0    10444.0 
   32    no  4722500.1        9.1        0.0      108.3      0.143    10444.0     1494.0 
   33    no       47.5        1.6     1492.6      124.8      0.117   187103.0    21852.0 
   34    no  4724772.9       29.2        0.0      137.5      0.271    21852.0     5929.0 
   35    no  4724829.2       13.9        0.0      138.2      3.686     5929.0    21852.0 
   36    no       79.4        0.3        5.8      140.3      3.609     1643.0     5929.0 
   37    no       56.7        0.4        7.8      145.4      0.840     1956.0     1643.0 
   38    no       79.2        0.2        5.0      152.7      2.033     2445.0     4971.0 
   39    no       62.5        0.9      104.6      157.7      0.492     4971.0     2445.0 
   40    no  4727442.6        7.9        0.0      172.1      1.027     4902.0     5032.0 
   41    no  4727532.5        7.5        0.0      173.3      0.297     5032.0     1497.0 
   42    no  4727605.0        6.5        0.0      174.2      3.361     1497.0     5032.0 
   43    no  4727706.8        5.8        0.0      175.6      0.367     4077.0     1497.0 
   44    no       34.6        0.1       35.3      177.4      0.234    17457.0     4077.0 
   45    no       27.9        0.0      106.2      181.2      0.533    32724.0    17457.0 
   46    no       19.8        0.2       12.8      187.2      2.584     4914.0    12700.0 
   47    no       78.7        0.4       60.9      192.3     27.048    12700.0   343508.0 
   48    no       27.3        0.9     1212.9      194.2      0.037   343508.0    12700.0 
   49    no       78.6        4.5       37.5      200.9     25.660      794.0    20374.0 
   50    no       24.3        0.0      144.6      204.1      0.932    20374.0    18981.0 
   51    no       22.9        0.0       78.2      206.9      1.073    18981.0    20374.0 
   52    no       22.8        1.7       58.0      217.3      0.412    10988.0     4527.0 
   53    no       78.3        0.3       25.4      221.5      2.427     4527.0    10988.0 
   54    no       19.7        2.5     3776.8      232.9      0.003   707966.0     2437.0 
   55    no  4732671.6        5.6        0.0      241.1      0.670     2437.0     1632.0 
   56    no  4732749.6        5.8        0.0      242.1      1.430     1632.0     2333.0 
   57    no  4732823.4        6.6        0.0      243.1      2.977     2333.0     6946.0 
   58    no  4732871.2        6.4        0.0      243.7      0.336     6946.0     2333.0 
   59    no       23.8        0.0       12.8      245.8      3.267     2126.0     6946.0 
   60    no       11.5        0.1       61.2      259.4      0.063    20220.0     1274.0 
   61    no  4734160.1        2.9        0.0      261.0     15.871     1274.0    20220.0 
   62    no       22.7        0.0       10.9      269.1      1.311     1679.0     2201.0 
   63    no  4735334.6        3.8        0.0      276.8      0.408     2201.0      897.0 
   64    no  4735381.6        3.8        0.0      277.4      2.454      897.0     2201.0 
   65    no  4735471.7        3.7        0.0      278.6      0.510     1760.0      897.0 
   66    no       77.5        0.7       30.2      291.2      1.909     1595.0     3045.0 
   67    no  4736526.4        4.3        0.0      292.9      0.187     3045.0      568.0 
   68    no  4736594.9        3.1        0.0      293.8      5.361      568.0     3045.0 
   69    no  4737531.8        5.7        0.0      306.5      0.570     5191.0     2960.0 
   70    no  4737606.7        8.3        0.0      307.5      1.333     2960.0     3946.0 
   71    no  4737658.8        7.4        0.0      308.2      0.750     3946.0     2960.0 
   73    no       30.2        0.1        5.0      313.8     13.795     1169.0    16126.0 
   74    no       17.9        0.0        6.0      319.3      1.584     2185.0     3462.0 
   75    no  4738840.4        3.0        0.0      324.3      0.162     3462.0      560.0 
   76    no  4738904.6        3.1        0.0      325.2      6.182      560.0     3462.0 
   77    no  4738988.8        3.0        0.0      326.3      0.764      733.0      560.0 
   79    no  4739272.2        2.4        0.0      330.2      2.731      798.0     2179.0 
   80    no  4739354.8        2.6        0.0      331.3      0.366     2179.0      798.0 
   81    no       77.0      407.6      307.4      333.2      0.944     2308.0     2179.0 
   83    no       76.9        0.1       18.8      338.3     81.705     2500.0   204262.0 
   84    no  4740099.9        2.0        0.0      341.6      2.084     1566.0     3264.0 
   85    no  4740331.5        3.6        0.0      344.7      0.480     3264.0     1566.0 
   87    no  4741388.5       17.7        0.0      359.3     11.011     4598.0    50627.0 
   90    no       13.0        0.0        7.6      380.1      1.796      614.0     1103.0 
   91    no       76.4        1.6       17.7      382.0      0.557     1103.0      614.0 
   92    no  4744451.2        2.0        0.0      401.7      0.823     1104.0      909.0 
   93    no  4744500.9        2.3        0.0      402.4      1.215      909.0     1104.0 
   94    no  4744637.9        2.7        0.0      404.4      0.341     2972.0     1013.0 
   95    no  4744709.5        2.7        0.0      405.4      2.934     1013.0     2972.0 
   96    no  4744800.2        3.0        0.0      406.6      0.601     2421.0     1456.0 
   97    no  4744845.6        2.5        0.0      407.2      1.663     1456.0     2421.0 
   98    no  4745274.5       19.5        0.0      413.2      4.844    11935.0    57811.0 
   99    no  4745336.5       31.9        0.0      414.1      0.206    57811.0    11935.0 
  100    no  4745557.9        1.6        0.0      417.2      2.805      790.0     2216.0 
  101    no  4745633.0        1.6        0.0      418.3      0.102     2216.0      227.0 
  102    no  4745700.3        1.3        0.0      419.2      9.762      227.0     2216.0 
  103    no  4746058.8        1.7        0.0      424.2      2.422      670.0     1623.0 
