   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    5    no       88.0        2.1       32.6       20.7      2.730     1224.0     3341.0 
    6    no       88.0       38.8        0.2       23.2      0.366     3341.0     1224.0 
    7    no  5193825.4       72.9        0.0       28.0      0.225    96136.0    21642.0 
    8    no  5193946.2       51.8        0.0       29.4      0.172    21642.0     3728.0 
    9    no  5194043.3       16.5        0.0       30.5      5.805     3728.0    21642.0 
   10    no  5194143.7        6.8        0.0       31.6      4.977      749.0     3728.0 
   11    no  5194246.4        5.8        0.0       32.8      0.760      985.0      749.0 
   12    no       32.1        0.1      451.9       35.2      0.002   237405.0      498.0 
   13    no  5194637.4       13.7        0.0       37.3      1.578      498.0      786.0 
   14    no  5194684.2        7.7        0.0       37.8      0.634      786.0      498.0 
   15    no  5194823.8        7.5        0.0       39.4      0.389     7833.0     3045.0 
   16    no  5194936.4        6.4        0.0       40.7      2.572     3045.0     7833.0 
   17    no  5195275.9        6.8        0.0       44.6      1.211     1064.0     1288.0 
   18    no  5195344.4        7.0        0.0       45.4      0.826     1288.0     1064.0 
   19    no       87.7       15.7        4.5       48.1    305.352     1916.0   585055.0 
   20    no       25.3        1.6     1557.4       50.8      0.003   585055.0     1916.0 
   21    no  5196444.8        5.6        0.0       58.0      0.262     2676.0      702.0 
   22    no  5196519.4        5.6        0.0       58.9      1.262      702.0      886.0 
   23    no  5196574.0        4.7        0.0       59.5      0.792      886.0      702.0 
   24    no  5196750.6        4.4        0.0       61.6      2.632      340.0      895.0 
   25    no  5196871.8        4.6        0.0       63.0      0.380      895.0      340.0 
   26    no  5197126.9        6.9        0.0       65.9     35.580      717.0    25511.0 
   27    no       22.6        0.0       49.5       67.2      0.028    25511.0      717.0 
   28    no  5197467.5        5.3        0.0       69.9      2.755      547.0     1507.0 
   29    no  5197578.5        4.2        0.0       71.1      0.363     1507.0      547.0 
   30    no  5197690.4        4.1        0.0       72.4      0.686      716.0      491.0 
   31    no  5197727.1        4.4        0.0       72.9      1.458      491.0      716.0 
   32    no  5198164.4        3.7        0.0       77.9      0.649      610.0      396.0 
   33    no  5198221.9        4.4        0.0       78.6      1.540      396.0      610.0 
   34    no       87.1      507.7     1615.9       91.4      0.007   214917.0     1459.0 
   35    no       86.9        1.0        7.4      104.3    147.304     1459.0   214917.0 
   36    no       11.7        0.1       54.3      122.8      0.055    26051.0     1440.0 
   37    no  5202118.4       12.6        0.0      124.0      4.122     1440.0     5936.0 
   38    no  5202194.1       10.2        0.0      124.9      0.243     5936.0     1440.0 
   40    no       64.3        0.3       15.4      142.0     32.541      897.0    29189.0 
   43    no       10.7        0.0      180.0      159.9      0.034    76410.0     2586.0 
   44    no       86.2        1.8       16.8      164.8     21.119     3618.0    76410.0 
   46    no       86.0       14.7      176.0      177.8      0.851    14751.0    12553.0 
   47    no  5206799.2       14.6        0.0      179.5      1.175    12553.0    14751.0 
   48    no  5207085.2        5.0        0.0      182.9      1.037     3118.0     3234.0 
   49    no  5207158.6        4.7        0.0      183.8      0.964     3234.0     3118.0 
   50    no       15.4        0.0        5.5      187.6      1.383     3036.0     4198.0 
   51    no  5207668.7        5.7        0.0      189.8      4.826     4198.0    20259.0 
   52    no  5207801.7       14.5        0.0      191.4      0.207    20259.0     4198.0 
   53    no  5208060.0        5.6        0.0      194.5      0.148     5327.0      790.0 
   54    no  5208138.3        5.6        0.0      195.5      6.743      790.0     5327.0 
   55    no       85.8        0.1        2.8      198.9      0.284     2777.0      790.0 
   57    no  5210185.6        4.6        0.0      220.1      2.024     2267.0     4588.0 
   58    no  5210251.9        5.1        0.0      220.9      0.494     4588.0     2267.0 
   59    no       30.1        0.0       27.3      223.7      0.172    26675.0     4588.0 
   61    no  5211577.3        4.9        0.0      236.9      0.940     1286.0     1209.0 
   62    no  5211653.8        5.0        0.0      237.9      1.064     1209.0     1286.0 
   64    no       65.5        0.3       34.5      250.3      1.107     3778.0     4183.0 
   66    no       25.2        0.0       92.2      260.1      9.069    32374.0   293586.0 
   67    no       85.0        1.4        7.4      263.5      0.702     1619.0     1136.0 
   68    no  5214009.7        8.3        0.0      266.5      0.538     1136.0      611.0 
   69    no  5214093.5       17.2        0.0      267.6     12.264      611.0     7493.0 
   71    no       41.3        0.6       41.5      275.8      0.067    47196.0     3184.0 
