   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    4    no  4285399.9        nan        0.0        nan      0.719     1425.0     1025.0 
    5    no  4285456.9        nan        0.0        nan      1.390     1025.0     1425.0 
    6    no       31.9    92552.3    35294.5       24.5      0.997     1028.0     1025.0 
    7    no       77.5   283790.3     5229.9       28.2      0.418     4862.0     2031.0 
    8    no  4286176.1      927.6        0.0       31.2     18.304     2031.0    37175.0 
    9    no       46.2     1120.0    27705.6       31.9      0.055    37175.0     2031.0 
   10    no       76.0     1659.8        0.4       33.6      5.801     6408.0    37175.0 
   11    no       77.5     2644.3     1915.5       38.1      3.228     1985.0     6408.0 
   12    no  4288047.6       33.3        0.0       55.8      0.754     4187.0     3157.0 
   13    no  4288106.0       22.4        0.0       56.6      1.326     3157.0     4187.0 
   14    no       36.3       14.6       57.5       61.4      0.096    19001.0     1826.0 
   15    no  4288522.7        7.0        0.0       62.1     10.406     1826.0    19001.0 
   16    no       13.9        9.7       72.1       64.0      0.028    64693.0     1826.0 
   17    no       76.6       12.4       57.6       71.2      2.683     1957.0     5251.0 
   18    no  4289365.2        2.5        0.0       73.3      0.405     5251.0     2126.0 
   19    no  4289416.5        2.3        0.0       74.0      2.470     2126.0     5251.0 
   20    no  4289546.9        7.9        0.0       75.8     41.626      529.0    22020.0 
   21    no       73.1       29.8        0.4       77.2      0.059    22020.0     1291.0 
   22    no  4289718.6        5.8        0.0       78.1     17.057     1291.0    22020.0 
   23    no  4289930.0       19.2        0.0       80.9      1.749      418.0      731.0 
   24    no  4290025.3        3.3        0.0       82.2      0.572      731.0      418.0 
   25    no  4290170.6        3.0        0.0       84.1      0.791     1172.0      927.0 
   26    no  4290226.6        3.9        0.0       84.9      1.264      927.0     1172.0 
   27    no  4290281.9        4.7        0.0       85.6      0.791     1172.0      927.0 
   28    no       76.2        0.8       10.8       87.1      0.091    12828.0     1172.0 
   29    no  4291315.4       43.7        0.0       99.6      1.511      929.0     1404.0 
   30    no  4291384.0       21.5        0.0      100.6      0.662     1404.0      929.0 
   31    no  4291462.5       17.9        0.0      101.6      0.316     4440.0     1404.0 
   32    no  4291632.6        3.1        0.0      104.0      0.374     3909.0     1461.0 
   33    no  4291727.9        4.9        0.0      105.3     57.821     1461.0    84477.0 
   34    no       12.5        0.9       11.4      106.4      0.017    84477.0     1461.0 
   35    no       40.7        6.6       10.3      113.2     14.540     5810.0    84477.0 
   36    no       75.2       11.3        0.0      128.8      2.176     1092.0     2376.0 
   37    no  4294025.7        3.0        0.0      136.9      0.482     2376.0     1145.0 
   38    no  4294124.8        1.5        0.0      138.3      2.075     1145.0     2376.0 
   39    no  4294719.6        9.5        0.0      146.6      0.330    20945.0     6918.0 
   40    no  4294762.0        7.4        0.0      147.2      3.028     6918.0    20945.0 
   41    no  4295038.3        2.5        0.0      151.1      0.832     3231.0     2688.0 
   42    no  4295125.6        5.9        0.0      152.3      1.202     2688.0     3231.0 
   43    no  4295237.1       15.1        0.0      153.9      0.794     3387.0     2688.0 
   44    no       74.6        2.3       21.3      158.7      0.384    22079.0     8474.0 
   45    no  4295815.7        1.5        0.0      162.0      2.605     8474.0    22079.0 
   46    no       65.3        0.7        0.1      169.7      8.846      958.0     8474.0 
   47    no       40.6        0.4      251.9      178.3     27.218     3109.0    84620.0 
   48    no       43.0        0.8        2.9      183.2      0.049    84620.0     4122.0 
   49    no  4297372.5        2.3        0.0      184.1     20.529     4122.0    84620.0 
   50    no       46.0        0.0      181.9      187.8      1.229     3354.0     4122.0 
   51    no  4298122.6        1.7        0.0      194.8      0.404     5839.0     2358.0 
   52    no  4298184.3        1.8        0.0      195.7      2.476     2358.0     5839.0 
   53    no       37.0        0.0       22.3      201.2      1.419     1812.0     2572.0 
   54    no  4298828.6        2.0        0.0      205.0      1.033     2572.0     2658.0 
   55    no  4298889.1        2.3        0.0      205.8      0.968     2658.0     2572.0 
   56    no  4298986.5        2.5        0.0      207.2      0.722     3679.0     2658.0 
   57    no       73.4       21.7       90.2      210.8      1.572     2341.0     3679.0 
   58    no       73.4        5.2      121.9      214.6     23.504     2196.0    51615.0 
   59    no       23.3        3.5      212.6      216.6      0.043    51615.0     2196.0 
   60    no       39.0        0.7     2990.0      219.6      0.451   114409.0    51615.0 
   61    no       11.2        0.4      813.7      228.6     47.064     4319.0   203270.0 
   62    no  4300649.9        4.7        0.0      231.4      0.021   203270.0     4319.0 
   63    no       72.9        0.1        1.2      236.2      0.624      603.0      376.0 
   64    no        3.3        0.1        4.9      240.7      1.604      376.0      603.0 
   65    no  4301871.0        3.9        0.0      249.3      1.177     1582.0     1862.0 
   66    no       72.6        0.1        6.2      251.9      0.660     1862.0     1228.0 
