   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    5    no       75.5      776.9        3.9       23.0      0.914     6713.0     6135.0 
    6    no  4159660.6      146.4        0.0       29.6      0.713     6135.0     4374.0 
    7    no  4159767.8      363.2        0.0       31.0      1.403     4374.0     6135.0 
    8    no       10.2      134.7     1521.1       34.9      3.612     1211.0     4374.0 
    9    no       70.6       78.2     3252.0       43.8      1.215     2804.0     3407.0 
   10    no       61.4       12.0      614.2       48.7      0.823     3407.0     2804.0 
   11    no  4161588.7       20.5        0.0       55.1     19.936     1075.0    21431.0 
   12    no       66.9        2.8      502.2       57.1      0.027    21431.0      572.0 
   13    no  4161798.0       16.6        0.0       57.9     37.467      572.0    21431.0 
   14    no  4161882.5       12.4        0.0       59.0      0.528     1084.0      572.0 
   15    no  4162452.3        9.1        0.0       66.7     23.115     2114.0    48865.0 
   16    no       76.4       11.8        0.0       67.4      0.043    48865.0     2114.0 
   17    no  4162678.5       13.4        0.0       69.7      1.377     6137.0     8450.0 
   18    no  4162782.1       10.6        0.0       71.1      0.726     8450.0     6137.0 
   19    no  4162927.9        8.7        0.0       73.1     10.255      824.0     8450.0 
   20    no       76.1      479.7      627.1       76.5      0.717     1149.0      824.0 
   21    no  4163646.7        5.3        0.0       82.8      0.265    12528.0     3324.0 
   22    no  4163735.6        6.6        0.0       84.0      3.769     3324.0    12528.0 
   23    no  4163828.9        5.1        0.0       85.3      1.483     2242.0     3324.0 
   24    no  4163948.6        3.1        0.0       87.0      0.225     9955.0     2242.0 
   25    no       75.7       17.3       48.9       90.1      0.018   517524.0     9527.0 
   26    no  4164254.9        6.8        0.0       91.2     54.322     9527.0   517524.0 
   27    no  4164386.8        5.6        0.0       93.0      5.131      490.0     2514.0 
   28    no  4164454.2        9.4        0.0       93.9      0.195     2514.0      490.0 
   29    no  4164531.3        7.2        0.0       94.9      0.973     2583.0     2514.0 
   30    no  4164691.5        3.7        0.0       97.1      1.484      697.0     1034.0 
   31    no  4164806.3        2.4        0.0       98.7      0.674     1034.0      697.0 
   32    no  4164973.3       80.6        0.0      101.0      0.324     7250.0     2348.0 
   33    no  4165075.4       43.8        0.0      102.4      0.248     2348.0      582.0 
   34    no  4165161.3        4.5        0.0      103.6      4.034      582.0     2348.0 
   35    no       75.0        2.8        8.8      112.0      0.002   224000.0      397.0 
   36    no       74.3        2.2       25.8      116.0    564.232      397.0   224000.0 
