   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    6    no       55.3        nan        7.9       22.5      1.805     4115.0     7429.0 
    7    no       44.1        0.2       12.4       25.0      0.554     7429.0     4115.0 
    8    no       11.6        0.2      121.2       30.4      0.131    56796.0     7429.0 
    9    no       17.4        0.5      911.9       37.9      0.052  1081874.0    56796.0 
   11    no       37.1        0.0        3.8       48.5      3.686     1929.0     7111.0 
   12    no       42.8        0.1        6.0       55.4      2.138     2523.0     5393.0 
   13    no        8.1        0.5        2.6       58.2      0.468     5393.0     2523.0 
   14    no       25.3        1.2       10.8       61.6      0.200    27027.0     5393.0 
   15    no       25.7        0.2      106.1       64.9      0.030   203328.0     6026.0 
   16    no      102.7        0.1       12.0       66.6     33.742     6026.0   203328.0 
   17    no  6093021.4        9.7        0.0       87.0      2.053     3795.0     7790.0 
   18    no       19.5        0.0        8.0      107.1      0.325     7790.0     2534.0 
   19    no       24.8        0.0        9.1      108.9      3.074     2534.0     7790.0 
   20    no      100.9        0.0       13.1      111.0      1.151     2202.0     2534.0 
   21    no      101.8        0.1        2.2      116.6      2.028     1086.0     2202.0 
   22    no  6097193.2       18.2        0.0      128.6      0.150    11450.0     1722.0 
   23    no  6097286.6       13.2        0.0      129.6      6.649     1722.0    11450.0 
   24    no  6097411.5       10.4        0.0      130.8      0.725     2376.0     1722.0 
   25    no      101.6        0.1        0.0      132.6      0.615     3865.0     2376.0 
   26    no       97.8        6.8        1.7      134.9      0.629     6142.0     3865.0 
   27    no       13.6        0.0      100.5      138.0      0.036    98402.0     3569.0 
   28    no       57.2        0.0        7.3      140.0     27.571     3569.0    98402.0 
   29    no       10.9        0.7      360.8      144.9      0.173   626922.0   108574.0 
   30    no       12.1        0.2      256.4      147.7      5.774   108574.0   626922.0 
   33    no      100.9       17.1       39.8      170.9      0.970     2066.0     2004.0 
   34    no      100.9        1.4        0.0      172.7    222.679     2004.0   446249.0 
   36    no      100.9        0.3       35.2      176.5     69.585     6413.0   446249.0 
   37    no       10.4        1.9      984.5      183.4      0.036   729811.0    26237.0 
   38    no  6102719.1      144.2        0.0      184.6     27.816    26237.0   729811.0 
   39    no  6103538.8       85.1        0.0      193.0      0.261   116573.0    30469.0 
   40    no  6103640.3       67.0        0.0      194.1      3.826    30469.0   116573.0 
   41    no  6104020.1        5.9        0.0      198.0      0.502     3042.0     1527.0 
   42    no  6104166.3        6.0        0.0      199.5      1.992     1527.0     3042.0 
   43    no       97.8        3.1        0.0      207.5    454.559     1468.0   667292.0 
   45    no        6.3        0.0        3.5      224.7     13.358     2204.0    29442.0 
   47    no  6106920.5       14.9        0.0      227.9     10.385     2835.0    29442.0 
   49    no  6108280.3       14.7        0.0      241.9      0.189    18993.0     3582.0 
   50    no  6108398.0       12.2        0.0      243.2      0.379     3582.0     1358.0 
   51    no  6108485.8        7.6        0.0      244.1      2.638     1358.0     3582.0 
   52    no  6109150.9       14.8        0.0      251.0      0.564    11399.0     6427.0 
   53    no  6109213.9       14.5        0.0      251.7      1.774     6427.0    11399.0 
   54    no  6109643.1        5.5        0.0      256.1      2.368     1012.0     2396.0 
   55    no  6109709.3        5.9        0.0      256.8      0.422     2396.0     1012.0 
   56    no       99.5        0.2        3.3      266.8      2.873      834.0     2396.0 
   62    no  6118050.5        3.8        0.0      345.0      0.283     2846.0      806.0 
   63    no  6118144.6        4.1        0.0      346.0      3.531      806.0     2846.0 
   64    no        3.7        0.0        1.9      348.3      2.357      342.0      806.0 
   65    no  6119665.9       59.7        0.0      362.3      1.138    77659.0    88341.0 
   66    no  6119703.2       62.2        0.0      362.7      0.879    88341.0    77659.0 
   68    no  6120252.8        7.6        0.0      368.6      1.891     3192.0     6036.0 
   69    no  6120352.3        6.7        0.0      369.6      0.529     6036.0     3192.0 
   71    no       44.2        0.6       11.1      374.4      7.468     9500.0    70947.0 
   72    no  6122214.5       36.7        0.0      389.7      0.057    72495.0     4114.0 
   73    no  6122353.2       32.0        0.0      391.2     17.622     4114.0    72495.0 
   74    no  6122492.0       26.4        0.0      392.7      0.972     3840.0     3733.0 
   75    no  6122624.3       25.8        0.0      394.2      0.967     3733.0     3611.0 
   76    no  6122747.4       24.9        0.0      395.5      1.034     3611.0     3733.0 
   77    no        7.1        0.5        3.5      397.1      1.098     3289.0     3611.0 
   78    no       95.8        3.6        0.1      398.7      1.076     3058.0     3289.0 
   79    no       97.6       45.9      102.9      400.4      0.771     3966.0     3058.0 
   81    no       97.6        1.8        0.0      403.9     44.496     2256.0   100384.0 
   82    no  6123710.6       26.6        0.0      405.9     47.428     2477.0   117480.0 
   84    no       59.2       11.2        0.5      409.8      0.042    34424.0     1453.0 
   85    no       97.4        7.4        0.0      412.2    329.369     1453.0   478573.0 
   87    no  6124587.0      103.8        0.0      415.5      0.270     4087.0     1102.0 
   88    no  6124687.8       12.1        0.0      416.6      3.709     1102.0     4087.0 
   89    no  6125608.7        7.7        0.0      426.6     14.935     1202.0    17952.0 
   92    no       97.1        0.3        0.0      438.1     17.625     1260.0    22207.0 
   93    no        0.1        1.2        3.0      450.9      1.867     2737.0     5110.0 
   94    no       13.1        0.2       13.4      454.3      5.837     5110.0    29828.0 
   95    no  6128337.2       25.3        0.0      456.5      0.845    29828.0    25215.0 
   96    no  6128442.9       25.5        0.0      457.6      1.183    25215.0    29828.0 
   97    no       15.2        0.0       52.4      460.7      0.312    80855.0    25215.0 
   99    no  6129317.5        8.1        0.0      467.3      0.716     2609.0     1869.0 
  100    no  6129411.0       21.0        0.0      468.3      8.120     1869.0    15176.0 
  101    no  6129490.0       31.2        0.0      469.2      2.559    15176.0    38837.0 
  102    no  6129547.4       32.6        0.0      469.8      0.391    38837.0    15176.0 
  103    no  6129694.7       13.3        0.0      471.4      2.492     1422.0     3544.0 
  104    no  6129768.7       11.6        0.0      472.2      0.401     3544.0     1422.0 
  107    no  6130756.4       12.4        0.0      483.2      0.806     5038.0     4063.0 
  108    no  6130840.2       16.2        0.0      484.1      1.240     4063.0     5038.0 
  110    no       96.4       17.6        7.0      490.2      5.358      758.0     4061.0 
  111    no  6131590.2       14.6        0.0      492.4      1.422     4147.0     5896.0 
  112    no  6131666.5       13.1        0.0      493.2      0.703     5896.0     4147.0 
  113    no  6131751.0        5.5        0.0      494.2      5.246     1124.0     5896.0 
  114    no       96.3        7.8        6.7      499.4      2.108     1912.0     4030.0 
  115    no  6132369.0       14.3        0.0      501.0      0.615     4030.0     2479.0 
  116    no  6132417.1       13.5        0.0      501.6      1.626     2479.0     4030.0 
  117    no  6132770.9       23.3        0.0      505.5      7.514     4407.0    33112.0 
  118    no  6132861.8       25.5        0.0      506.5      0.133    33112.0     4407.0 
  120    no  6133178.1       25.8        0.0      510.0      0.380     4405.0     1674.0 
  121    no  6133269.4        8.7        0.0      511.0      2.631     1674.0     4405.0 
  122    no  6133593.5       14.3        0.0      514.7      0.166     4599.0      762.0 
  123    no  6133669.5       14.0        0.0      515.5      6.035      762.0     4599.0 
  126    no  6134448.3       19.5        0.0      524.2      0.924     4223.0     3903.0 
  127    no  6134551.0       14.9        0.0      525.3      1.082     3903.0     4223.0 
  128    no       95.9        7.0        0.0      532.0      3.437     1206.0     4145.0 
  133    no       95.7        2.4        0.0      552.9      1.122     3316.0     3722.0 
  140    no  6140598.1        8.5        0.0      593.3      1.854     1800.0     3337.0 
  141    no  6140699.0       17.7        0.0      594.5      3.757     3337.0    12536.0 
  142    no  6140765.2       17.6        0.0      595.2      0.266    12536.0     3337.0 
  143    no  6140884.1        6.5        0.0      596.6      0.159     6041.0      958.0 
  144    no  6140983.5        4.0        0.0      597.7      6.306      958.0     6041.0 
  146    no  6141633.9        5.2        0.0      605.1      5.152     1233.0     6353.0 
  147    no  6141756.9       19.3        0.0      606.5      0.194     6353.0     1233.0 
