   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    9    no  4384020.6        nan        0.0        nan      0.999     1876.0     1874.0 
   10    no  4384124.6       50.0        0.0       24.7      1.001     1874.0     1876.0 
   11    no       75.5     1499.1    20874.9       26.7      1.825     1027.0     1874.0 
   12    no  4384601.5     3246.6        0.0       31.0      6.507     4424.0    28789.0 
   13    no  4384655.8     2921.9        0.0       31.7      0.154    28789.0     4424.0 
   14    no       15.5      134.6     1770.9       37.1      0.052   558737.0    28789.0 
   15    no       75.2      105.0       63.6       44.9      4.825     1319.0     6364.0 
   16    no       66.0       46.2       52.0       46.4      0.207     6364.0     1319.0 
   17    no  4386406.3       20.6        0.0       55.2      3.714      510.0     1894.0 
   18    no  4386485.6       18.4        0.0       56.2      0.269     1894.0      510.0 
   19    no  4386965.3       82.7        0.0       62.7      0.426    15332.0     6536.0 
   20    no  4387028.6       80.1        0.0       63.5      2.346     6536.0    15332.0 
   21    no       75.0       15.8       11.2       66.1      3.369     1940.0     6536.0 
   22    no       27.5        3.7      179.2       73.1      0.120    51153.0     6153.0 
   23    no  4388101.7       43.5        0.0       78.0      0.147     6153.0      903.0 
   24    no  4388179.8       27.8        0.0       79.1      0.904      903.0      816.0 
   25    no  4388249.2       26.7        0.0       80.0      1.107      816.0      903.0 
   26    no  4388358.0       19.4        0.0       81.5      0.946     1197.0     1132.0 
   27    no  4388403.2       19.1        0.0       82.1      1.057     1132.0     1197.0 
   28    no       74.7        5.4        8.9       85.6      1.013     1118.0     1132.0 
   29    no       21.1        0.2       23.7       89.8      0.168     6470.0     1088.0 
   30    no       74.6        5.1        4.0       93.5      1.323     1088.0     1439.0 
   31    no       65.5        0.3        5.1       96.7      0.756     1439.0     1088.0 
   32    no       43.9        0.3        9.1      102.8      1.656      869.0     1439.0 
   33    no       24.7       31.7     3077.0      119.0      0.035   373061.0    12998.0 
   34    no       27.3       20.6       36.0      122.9      0.515    12998.0     6694.0 
   35    no       23.0        0.2       24.6      124.8      1.942     6694.0    12998.0 
   36    no  4391888.5       12.0        0.0      129.7      0.923      810.0      748.0 
   37    no  4391959.3       11.0        0.0      130.7      1.083      748.0      810.0 
   38    no       17.3        2.3      418.5      144.7      0.040   120233.0     4796.0 
