   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    5    no  6019089.8      181.8        0.0       18.0     16.253      895.0    14546.0 
    6    no       13.9        0.2       22.6       23.4      0.428    12087.0     5169.0 
    7    no       22.9        0.2        7.9       25.2      2.338     5169.0    12087.0 
    8    no       18.3        0.0       27.0       29.7      0.404    14998.0     6052.0 
    9    no  6020498.0       79.6        0.0       31.9      2.478     6052.0    14998.0 
   11    no        7.4       14.9       46.9       40.9     53.103    17054.0   905622.0 
   12    no       77.1        0.0        1.1       50.3      0.285     2463.0      703.0 
   13    no  6022639.8       59.4        0.0       53.0      5.238      703.0     3682.0 
   14    no  6022697.3       57.9        0.0       53.6      0.191     3682.0      703.0 
   16    no  6023333.2      120.1        0.0       59.9     44.351      991.0    43952.0 
   19    no       93.9        5.7        0.0       88.9     34.879     1532.0    53434.0 
   25    no      100.0      104.9        0.0      159.4     40.678     1800.0    73220.0 
   27    no  6033514.5      269.5        0.0      162.7     16.253     4505.0    73220.0 
   28    no  6034213.1       47.2        0.0      169.9      1.112     1129.0     1256.0 
   29    no  6034339.2       55.7        0.0      171.2      0.899     1256.0     1129.0 
   31    no       34.9       10.1        1.2      176.3      7.539     1596.0    12033.0 
   37    no        0.7        0.0        1.6      226.3      1.539      748.0     1151.0 
   38    no  6039905.6       27.8        0.0      228.8      0.650     1151.0      748.0 
   39    no       41.1        0.2        5.3      238.9      1.346     2133.0     2871.0 
   41    no  6041348.0       28.3        0.0      243.9      0.596     1593.0      950.0 
   42    no  6041430.3       30.3        0.0      244.8      1.677      950.0     1593.0 
   43    no       98.7        0.2        2.1      255.0     63.599     1288.0    81916.0 
   45    no  6044432.4     1460.5        0.0      276.4      0.224   128741.0    28824.0 
   46    no  6044470.4     1419.5        0.0      276.8      4.466    28824.0   128741.0 
   47    no       49.8        0.3        8.3      286.2      3.246     8880.0    28824.0 
   49    no  6047266.6       52.6        0.0      306.5      0.660     2032.0     1342.0 
   50    no  6047389.8       50.5        0.0      307.9      1.514     1342.0     2032.0 
   51    no  6047523.6       45.5        0.0      309.3      1.054     1273.0     1342.0 
   52    no  6047662.3       49.7        0.0      310.8      4.172     1173.0     4894.0 
   53    no  6047798.2       68.0        0.0      312.2      0.240     4894.0     1173.0 
   54    no  6047955.9       51.9        0.0      313.9      3.544     1381.0     4894.0 
   61    no       17.4        0.2        3.3      403.5      5.063      508.0     2572.0 
   63    no  6057170.6       36.1        0.0      413.7      0.589     1398.0      824.0 
   64    no  6057254.1       39.8        0.0      414.6      1.697      824.0     1398.0 
   66    no  6058288.7       85.0        0.0      426.0     19.728      887.0    17499.0 
   67    no       96.3       17.9        7.6      427.6      0.374     2371.0      887.0 
   68    no  6058611.8       83.4        0.0      429.6      1.004     5031.0     5049.0 
   69    no  6058720.7       61.1        0.0      430.7      0.996     5049.0     5031.0 
   70    no  6059854.9       43.9        0.0      443.3      0.599     3503.0     2100.0 
   71    no  6060958.4       35.1        0.0      455.5      0.348     2100.0      730.0 
   72    no  6061024.7       34.3        0.0      456.2      2.877      730.0     2100.0 
   74    no  6061628.7      251.5        0.0      462.9     15.726     4050.0    63690.0 
   75    no       10.2        0.2       57.8      497.7      0.033    79742.0     2629.0 
   77    no  6065646.4      128.4        0.0      507.8     17.801     2453.0    43667.0 
   79    no  6065916.7       88.9        0.0      510.8      0.386     1603.0      619.0 
   80    no  6066033.6       56.2        0.0      512.1      0.805      619.0      498.0 
   81    no  6066123.2       44.8        0.0      513.1      1.243      498.0      619.0 
   82    no  6066236.5       42.0        0.0      514.4      1.860      933.0     1735.0 
   83    no  6066330.2       45.2        0.0      515.5      0.538     1735.0      933.0 
   85    no  6066595.2      100.2        0.0      518.4     20.524      492.0    10098.0 
   86    no  6066963.3       99.0        0.0      522.6      5.768     1968.0    11352.0 
   87    no  6067079.2      192.0        0.0      523.9      0.173    11352.0     1968.0 
   89    no  6069569.2       41.8        0.0      552.1      1.665      758.0     1262.0 
   90    no  6069673.2       43.8        0.0      553.2      0.601     1262.0      758.0 
   91    no  6069840.3       81.8        0.0      555.1      1.215     3853.0     4680.0 
   92    no  6069936.5      108.1        0.0      556.2      0.823     4680.0     3853.0 
   93    no  6070056.7       82.6        0.0      557.6      2.523     1855.0     4680.0 
   94    no  6070196.5       58.6        0.0      559.2      2.299      807.0     1855.0 
   96    no  6070475.9       60.3        0.0      562.4     28.882      854.0    24665.0 
   98    no       94.5        3.0        2.1      576.8      4.280      979.0     4190.0 
   99    no  6072799.2       82.3        0.0      588.9      0.678     7514.0     5096.0 
  100    no  6072896.2       88.5        0.0      590.0      1.474     5096.0     7514.0 
