   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    0    no       88.1        0.0       27.7       17.4      1.000        1.0        1.0 
    1    no        6.2        4.8      832.8        0.0      1.000        1.0        1.0 
   12    no        8.0      862.2    16885.5      259.7      1.000        1.0        1.0 
   13    no        1.0      260.6    33602.1      329.7      1.000        1.0        1.0 
   15    no       20.0       58.2      291.7      390.8      1.000        1.0        1.0 
   20    no       82.5     2266.2    13800.6      476.7      1.000        1.0        1.0 
   21    no       84.0      530.7        5.7      480.8      1.000        1.0        1.0 
   25    no       19.8        0.0       38.5      634.2      1.000        1.0        1.0 
   26    no        4.3       10.9     3052.9      657.6      1.000        1.0        1.0 
   27    no        3.5       59.2       43.9      668.5      1.000        1.0        1.0 
