 # ID       Xpix           Wavelength          Intens       Line 
    0     1922.9        6989.65530000             1.0        ThI 
    1     1979.5        6992.21260000             1.0        ArI 
    6      452.1        6920.03940000             1.0        ThI 
   11      935.8        6943.61050000             1.0        ThI 
   14     1165.5        6954.65600000             1.0        ThI 
   16     1396.8        6965.43070000             1.0        ArI 
   17     1733.0        6981.08310000             1.0        ThI 
