   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    8    no  5773945.3     1296.7        0.0       31.4      0.135   273685.0    36886.0 
    9    no  5774003.3     1445.1        0.0       32.0      7.420    36886.0   273685.0 
   10    no       15.2        0.2       15.1       39.3      0.513     4170.0     2140.0 
   11    no  5774982.5       33.6        0.0       42.0      0.654     2140.0     1400.0 
   12    no  5775075.4       36.6        0.0       43.0      1.529     1400.0     2140.0 
   13    no       97.3        1.2        0.1       45.4      0.935      432.0      404.0 
   14    no  5775506.2       28.2        0.0       47.4     12.646      404.0     5109.0 
   15    no       11.5        0.1       19.5       48.6      0.079     5109.0      404.0 
   17    no       45.8        0.2        7.9       56.4     14.724     2076.0    30567.0 
   20    no  5777849.3       23.2        0.0       71.7      0.338     2008.0      678.0 
   21    no  5777952.5       21.2        0.0       72.7      2.962      678.0     2008.0 
   22    no  5779146.9       25.7        0.0       85.2      1.751      551.0      965.0 
   23    no  5779265.8       25.3        0.0       86.4      0.571      965.0      551.0 
   24    no  5779408.8       52.6        0.0       87.9      0.153     6327.0      965.0 
   25    no  5779749.9      141.9        0.0       91.5     12.504     2224.0    27808.0 
   27    no  5780156.4       18.5        0.0       95.7      0.548      831.0      455.0 
   28    no  5780291.7       14.5        0.0       97.1      1.826      455.0      831.0 
   29    no  5780436.3       15.4        0.0       98.6      0.836      544.0      455.0 
   30    no  5781480.9       49.6        0.0      109.6      0.908     5270.0     4786.0 
   31    no  5781576.0      159.9        0.0      110.6      6.191     4786.0    29632.0 
   32    no  5781658.4      208.0        0.0      111.4      0.162    29632.0     4786.0 
   33    no  5781768.9       83.4        0.0      112.6     27.185     1090.0    29632.0 
   34    no  5781983.3       25.0        0.0      114.9      2.284      384.0      877.0 
   35    no  5782042.8       27.0        0.0      115.5      0.438      877.0      384.0 
   36    no  5782242.6      354.1        0.0      117.6      3.172    18753.0    59481.0 
   37    no  5782313.2      461.0        0.0      118.3      0.315    59481.0    18753.0 
   38    no  5783207.9       65.3        0.0      127.8      0.332     3695.0     1225.0 
   39    no  5783339.7       51.0        0.0      129.1      0.384     1225.0      471.0 
   40    no  5783423.2       62.8        0.0      130.0      2.601      471.0     1225.0 
   42    no       20.8        1.3       23.3      134.4     24.332     1646.0    40051.0 
   43    no       96.4        0.4        5.6      138.4      0.753      882.0      664.0 
   44    no       96.4        0.9        4.4      140.2      1.748      664.0     1161.0 
   45    no       96.4        3.3        0.8      141.9      0.572     1161.0      664.0 
   46    no  5784866.5      125.5        0.0      145.3      0.296     7518.0     2227.0 
   47    no  5784923.8       97.8        0.0      145.9      3.376     2227.0     7518.0 
   48    no       10.2        0.0       10.2      148.0      0.876     2542.0     2227.0 
   49    no        4.4        0.2        3.2      155.9     25.591     1198.0    30658.0 
   51    no  5786664.5      103.8        0.0      164.4     12.679     2418.0    30658.0 
   52    no  5786784.3       32.5        0.0      165.7      1.542     1568.0     2418.0 
   53    no       95.8        0.9        9.7      182.5      4.885      418.0     2042.0 
   54    no  5788535.3       67.0        0.0      184.5      1.314     2042.0     2683.0 
   55    no  5788571.7       59.6        0.0      184.9      0.761     2683.0     2042.0 
   56    no  5789375.1       48.0        0.0      193.5      9.509     2346.0    22307.0 
   57    no  5789475.3      235.9        0.0      194.6      0.105    22307.0     2346.0 
   59    no       95.6        7.2       80.5      198.7    368.235     1722.0   634100.0 
   61    no  5790604.8       21.3        0.0      206.8      0.774      890.0      689.0 
   62    no  5790711.9       28.5        0.0      207.9      1.292      689.0      890.0 
   65    no  5795956.5      351.1        0.0      265.0    111.467     2195.0   244670.0 
   67    no  5796418.5      227.7        0.0      270.1      0.362    15544.0     5621.0 
   68    no  5796520.6      128.2        0.0      271.3      2.765     5621.0    15544.0 
   69    no       93.8      133.7        1.1      276.7     85.435     1124.0    96029.0 
   72    no       68.5       64.1        1.5      296.0     24.675     3760.0    92778.0 
   75    no       23.9        0.1        6.3      327.2      0.559     2408.0     1347.0 
   76    no  5801814.1       32.7        0.0      329.9      1.788     1347.0     2408.0 
   78    no        5.4       26.8        6.0      336.3     25.635     7396.0   189594.0 
   79    no  5802847.9       75.0        0.0      341.5      0.206    10907.0     2248.0 
   80    no  5802930.2       66.5        0.0      342.4      4.852     2248.0    10907.0 
