   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    6    no       71.1      209.3     1747.3       21.8      0.084   244936.0    20690.0 
    7    no       64.0      339.0      198.9       38.6      0.099    13038.0     1291.0 
    8    no       41.7      350.7      814.0       42.6      8.491     1291.0    10962.0 
    9    no  4099455.8       85.1        0.0       46.0      1.139    10962.0    12489.0 
   10    no  4099552.2       47.0        0.0       47.4      0.878    12489.0    10962.0 
   11    no       61.1       93.6      134.2       49.2      4.393     2843.0    12489.0 
   12    no       62.2      470.4     1332.6       53.7      0.747     3808.0     2843.0 
   13    no       34.8      848.4   126753.0       58.7      0.006   605291.0     3808.0 
   14    no       70.6     1547.1       65.7       66.9      0.122    10466.0     1272.0 
   15    no  4101238.3       36.6        0.0       71.5      0.638     1272.0      811.0 
   16    no  4101323.5       23.6        0.0       72.7      1.568      811.0     1272.0 
   17    no       70.5       41.3       15.6       76.0      1.423      570.0      811.0 
   18    no  4102295.2       10.8        0.0       86.7     22.113     1977.0    43718.0 
   19    no       70.3        4.4      216.8       91.4      0.133    43718.0     5793.0 
   20    no  4102819.2       17.3        0.0       94.3      0.128     5793.0      743.0 
   21    no  4103014.6        7.7        0.0       97.2      1.198      743.0      890.0 
   22    no  4103109.8       10.7        0.0       98.5      0.835      890.0      743.0 
   23    no  4103205.2       23.4        0.0       99.9      4.854      363.0     1762.0 
   24    no  4103261.9       17.5        0.0      100.7      0.206     1762.0      363.0 
   25    no  4103405.8       13.0        0.0      102.8      3.525      863.0     3042.0 
   26    no  4103460.0       12.4        0.0      103.6      0.284     3042.0      863.0 
   27    no  4103832.5     5179.3        0.0      109.0      2.212   253450.0   560599.0 
   28    no  4103912.1     2554.8        0.0      110.2      0.452   560599.0   253450.0 
   29    no       64.1        1.0      141.1      117.0      1.365    10536.0    14386.0 
   30    no       66.1        0.7       60.4      123.7      0.045    14386.0      654.0 
   31    no  4104915.6       10.3        0.0      124.9     21.997      654.0    14386.0 
   32    no  4105478.0       21.7        0.0      133.1      0.708     2771.0     1961.0 
   33    no  4105572.5       12.3        0.0      134.5      1.244     1961.0     2440.0 
   34    no  4105652.0        5.2        0.0      135.7      0.804     2440.0     1961.0 
   35    no       58.7       13.2        0.0      141.3      0.702     2828.0     1984.0 
   36    no       69.6        7.7        4.3      145.9      1.425     1984.0     2828.0 
   37    no       56.1        8.4      185.1      156.3      0.288    41591.0    11986.0 
   38    no  4107286.3       54.4        0.0      159.8      0.214    11986.0     2566.0 
   39    no  4107371.7       23.8        0.0      161.0      4.671     2566.0    11986.0 
   40    no  4107790.3      118.1        0.0      167.2     12.894     2102.0    27104.0 
   41    no       53.5        0.5      150.8      168.3      0.078    27104.0     2102.0 
   42    no       62.2     7442.2        6.4      173.1    105.550     1045.0   110300.0 
   43    no       44.2        3.3     1483.7      176.6      0.007   110300.0      811.0 
   44    no  4108521.1       28.0        0.0      178.1    136.005      811.0   110300.0 
   45    no       42.2        0.8      336.4      190.1      0.019    63418.0     1201.0 
   46    no       69.0        0.5        6.5      192.3     52.804     1201.0    63418.0 
   47    no       38.9        0.1        7.6      196.1      0.707     1698.0     1201.0 
   48    no  4110076.3       16.0        0.0      201.4      1.218      702.0      855.0 
   49    no  4110170.6       11.9        0.0      202.8      0.753      855.0      644.0 
   50    no  4110220.5       10.0        0.0      203.5      1.328      644.0      855.0 
   51    no  4110513.4       59.5        0.0      207.9      0.174     3333.0      581.0 
   52    no  4110563.0       94.4        0.0      208.7      5.737      581.0     3333.0 
   53    no       68.8      315.3      155.9      209.8      0.050    11722.0      581.0 
   54    no       31.6        1.0      325.0      212.7      0.086    54594.0     4677.0 
   55    no  4110872.1      142.3        0.0      213.3     11.673     4677.0    54594.0 
   56    no  4110971.4       13.0        0.0      214.8     12.085      387.0     4677.0 
   57    no  4111087.3       17.1        0.0      216.6      2.334      628.0     1466.0 
   58    no  4111134.7       14.7        0.0      217.3      0.428     1466.0      628.0 
   59    no       68.7        0.1        4.9      224.6      0.606     2421.0     1466.0 
   60    no  4112106.0       15.0        0.0      232.0      0.496     2813.0     1394.0 
   61    no  4112202.4       16.3        0.0      233.5      2.018     1394.0     2813.0 
   62    no  4112317.7       28.5        0.0      235.2      1.403     1683.0     2361.0 
   63    no  4112388.0       16.2        0.0      236.3      0.713     2361.0     1683.0 
   64    no       35.4        0.0        7.4      247.0      0.497     1329.0      661.0 
   65    no  4113508.8       37.2        0.0      253.3      3.838      661.0     2537.0 
   66    no  4113558.0       35.1        0.0      254.1      0.261     2537.0      661.0 
   67    no       68.3        1.9        0.0      257.1      4.884      516.0     2520.0 
   68    no       14.0        0.1        7.2      258.9      0.205     2520.0      516.0 
   69    no  4114060.2        8.0        0.0      261.7      3.134      804.0     2520.0 
   70    no       24.4        0.1       16.9      268.3      0.325     2476.0      804.0 
   71    no       68.0        1.2       38.7      286.2    174.074      811.0   141174.0 
   72    no       23.1        1.2      832.6      287.8      0.006   141174.0      811.0 
   73    no       26.3        0.0       60.2      297.3     18.069     6808.0   123014.0 
   74    no       20.6        4.4     1744.6      302.6      0.055   123014.0     6808.0 
   75    no       67.6        0.3        0.0      326.1      2.777      743.0     2063.0 
   76    no  4118326.8       19.8        0.0      327.7      0.360     2063.0      743.0 
   77    no       14.1        0.2       52.8      330.2      0.176    11713.0     2063.0 
   78    no       50.8        0.6        0.4      334.6      8.996     1302.0    11713.0 
   79    no  4119396.4       25.0        0.0      344.4      1.878      898.0     1686.0 
   80    no  4119475.3       24.4        0.0      345.6      0.533     1686.0      898.0 
   81    no  4120362.2       17.1        0.0      359.5      1.224     2269.0     2778.0 
   82    no  4120409.6       16.8        0.0      360.3      0.817     2778.0     2269.0 
   83    no       12.5        0.0       11.4      383.1      0.424     1316.0      558.0 
   84    no       66.9       86.7       51.6      393.6      2.957      558.0     1650.0 
   86    no  4123530.2      107.2        0.0      409.7      2.419     7234.0    17496.0 
   87    no  4123601.3      111.0        0.0      410.9      0.413    17496.0     7234.0 
