 # ID       Xpix           Wavelength          Intens       Line 
   10        0.0        4713.79075730          4195.0        ThI 
   11        0.0        4713.84893289           728.0          ? 
   12       76.7        4714.11911834          3796.0       NoID 
   13       95.2        4714.67172399         13662.0        ThI 
   14        0.0        4714.86479285          1363.0       ThII 
   16        0.0        4715.86130193          1609.0        ThI 
   17        0.0        4715.95281569          1826.0          ? 
   18        0.0        4715.99634017          1810.0          ? 
   19        0.0        4716.06128197          7910.0        ThI 
   20        0.0        4717.15349270           434.0          ? 
   22        0.0        4717.48232161          1081.0          ? 
   23      190.5        4717.92918725          2790.0       NoID 
   24      196.3        4718.29291892           807.0          ? 
   25        0.0        4718.51470217          7867.0        ThI 
   26        0.0        4718.61620829         15317.0       ThII 
   27        0.0        4719.19343541           786.0          ? 
   28        0.0        4719.25130208          2805.0          ? 
   30      237.5        4719.56355938           753.0          ? 
   32        0.0        4719.92143459          2536.0          ? 
   33        0.0        4719.97969416         10884.0          ? 
   34        0.0        4720.03079262          1526.0          ? 
   41        0.0        4722.42054666          1494.0          ? 
   42        0.0        4722.50014657         10444.0        ThI 
   44        0.0        4724.77289558         21852.0       ThII 
   45        0.0        4724.82924265          5929.0       ThII 
   46      390.3        4724.99049494          1643.0       NoID 
   47      403.4        4725.38733182          1956.0        ThI 
   48      418.1        4725.94500411          2445.0       ThII 
   49      433.9        4726.33665037          4971.0       ThII 
   50        0.0        4727.44258042          4902.0        ThI 
   51        0.0        4727.53254459          5032.0          ? 
   52        0.0        4727.60495841          1497.0          ? 
   53        0.0        4727.70678943          4077.0       NoID 
   57        0.0        4728.98626251         12700.0        ThI 
   59      530.4        4729.63583844           794.0          ? 
   65        0.0        4732.67155327          2437.0       ThII 
   66        0.0        4732.74961559          1632.0          ? 
   67        0.0        4732.82335205          2333.0          ? 
   68        0.0        4732.87124537          6946.0          ? 
   71        0.0        4734.16010393          1274.0          ? 
   72      679.3        4734.76452381          1679.0       ThII 
   73        0.0        4735.33460479          2201.0          ? 
   74        0.0        4735.38157734           897.0          ? 
   75        0.0        4735.47165348          1760.0          ? 
   76      726.7        4736.40114324          1595.0       ThII 
   77        0.0        4736.52636906          3045.0        ThI 
   78        0.0        4736.59488091           568.0          ? 
   79        0.0        4737.53182369          5191.0        ThI 
   80        0.0        4737.60672485          2960.0        ThI 
   81        0.0        4737.65884304          3946.0       ThII 
   83      777.9        4738.07018807          1169.0          ? 
   85        0.0        4738.84044400          3462.0        ThI 
   86        0.0        4738.90459301           560.0          ? 
   87        0.0        4738.98876871           733.0          ? 
   89        0.0        4739.27217262           798.0          ? 
   90        0.0        4739.35478774          2179.0       NoID 
   91        0.0        4739.49029484          2308.0          ? 
   93      830.3        4739.86364892          2500.0       ThII 
   94      841.4        4740.09990733          1566.0       NoID 
   95        0.0        4740.33150797          3264.0       NoID 
   97        0.0        4741.38854492          4598.0       ThII 
  100      923.5        4742.89247546           614.0          ? 
  101      930.2        4743.03048490          1103.0       NoID 
  102        0.0        4744.45116149          1104.0          ? 
