 # ID       Xpix           Wavelength          Intens       Line 
    8       91.1        4919.81599151        630752.0       ThII 
   33      217.8        4924.42283412         27128.0       ThII 
   42      260.0        4925.95065038         38168.0       NoID 
   49      297.6        4927.29962913         34934.0        ThI 
   58      347.3        4929.08564680         40595.0        ThI 
   61      364.4        4929.69419218           955.0          ? 
   63      372.5        4929.98634559         16479.0       ThII 
   74      452.4        4932.83377634          8195.0          ? 
   79      494.6        4934.33050482          5807.0        ThI 
   80      500.0        4934.53488054          1151.0       ThII 
   89      544.0        4936.08778508          4706.0       ArII 
   91      563.4        4936.77476662        168215.0        ThI 
   98      593.3        4937.82916356        251385.0        ThI 
  103      612.6        4938.50399432         66916.0       NoID 
  109      634.2        4939.27041975         19321.0        ThI 
  117      681.1        4940.90818573          7129.0        ThI 
  119      695.5        4941.41562194         19035.0        ThI 
  121      742.4        4943.06343125        454272.0        ThI 
  128      845.9        4946.66275115        142520.0       ThII 
  136      925.0        4949.39741571          9954.0       ArII 
  138      941.1        4949.95784684          1794.0       ThII 
  139      949.6        4950.25125989         35926.0        ThI 
  140      960.5        4950.62628627         58166.0       ThII 
  141      982.9        4951.38751504           624.0          ? 
  146     1020.7        4952.69019498         24887.0        ThI 
  147     1045.2        4953.53202234          6067.0        ThI 
  155     1116.1        4955.96529991           859.0          ? 
  159     1155.4        4957.29680417         27991.0       NoID 
  164     1179.0        4958.09728451         23612.0        ThI 
  172     1275.8        4961.38272864          7386.0        ThI 
  173     1286.1        4961.72651730         56709.0        ThI 
  174     1296.2        4962.06241206          8894.0        ThI 
  177     1308.1        4962.47140639          4421.0        ThI 
  179     1329.4        4963.18840289         18591.0       ThII 
  180     1357.1        4964.11891867         15203.0       ThII 
  181     1361.1        4964.26039108         10996.0        ThI 
  182     1405.1        4965.73214704        145055.0        ThI 
  184     1453.2        4967.33322463          2668.0        ThI 
  185     1462.5        4967.65454226          5882.0        ThI 
  187     1495.5        4968.75556571         42749.0       ThII 
  189     1530.0        4969.90600103         10335.0       NoID 
  194     1558.3        4970.84364989          1113.0          ? 
  206     1686.3        4975.09193803          6820.0        ThI 
  210     1712.5        4975.94860839          9361.0       ThII 
  215     1732.1        4976.59395391          5489.0       ThII 
  219     1756.6        4977.39139000          9204.0        ThI 
  222     1764.2        4977.65373729          3700.0       NoID 
  229     1841.5        4980.18582941        143703.0        ThI 
  230     1859.0        4980.75591792          9070.0        ThI 
  231     1864.9        4980.95017330         20828.0       ThII 
  236     1912.0        4982.48686293        262655.0        ThI 
