   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    0    no  5143916.5     1680.0        0.0       17.4      1.000        1.0        1.0 
    1    no  5145308.3     2781.6        0.0        0.0      1.000        1.0        1.0 
    2    no  5146055.7      163.5        0.0        9.4      1.000        1.0        1.0 
    3    no  5147134.6       99.3        0.0       23.0      1.000        1.0        1.0 
    4    no  5148211.5      437.3        0.0       36.6      1.000        1.0        1.0 
    5    no  5149206.9      173.8        0.0       49.2      1.000        1.0        1.0 
    7    no  5150700.0      138.3        0.0       68.2      1.000        1.0        1.0 
    8    no  5151612.0     4540.6        0.0       79.9      1.000        1.0        1.0 
    9    no  5153517.3       69.4        0.0      104.3      1.000        1.0        1.0 
   10    no  5154243.0     5471.6        0.0      113.7      1.000        1.0        1.0 
   11    no  5154898.5      109.2        0.0      122.1      1.000        1.0        1.0 
   12    no       17.0        0.3       12.4      155.0      1.000        1.0        1.0 
   13    no  5158604.1    12055.9        0.0      170.3      1.000        1.0        1.0 
   14    no  5159620.2      248.0        0.0      183.7      1.000        1.0        1.0 
   15    no  5161539.6     1419.2        0.0      208.9      1.000        1.0        1.0 
   16    no  5162284.6     1494.0        0.0      218.8      1.000        1.0        1.0 
   18    no       13.4        0.2       24.7      246.8      1.000        1.0        1.0 
   21    no  5098043.2      668.4        0.0      545.3      1.000        1.0        1.0 
   22    no  5100621.1     2543.8        0.0      518.0      1.000        1.0        1.0 
   23    no  5101129.9      472.1        0.0      512.5      1.000        1.0        1.0 
   24    no  5106668.9       50.0        0.0      452.8      1.000        1.0        1.0 
   25    no  5109733.1      166.4        0.0      419.2      1.000        1.0        1.0 
   26    no  5110552.8      182.8        0.0      410.1      1.000        1.0        1.0 
   27    no        2.4       10.6       42.5      404.5      1.000        1.0        1.0 
   28    no  5111278.1      744.8        0.0      402.1      1.000        1.0        1.0 
   29    no  5115044.8     5242.1        0.0      360.0      1.000        1.0        1.0 
   33    no        1.7       33.2       39.6      240.2      1.000        1.0        1.0 
   34    no        3.3       22.3      306.5      234.8      1.000        1.0        1.0 
   39    no       13.2        1.4       20.6      149.8      1.000        1.0        1.0 
   43    no       16.0        0.5      170.9       56.4      1.000        1.0        1.0 
   46    no  5143916.5     1680.0        0.0       17.4      1.000        1.0        1.0 
   47    no        2.2       42.2       73.9        3.4      1.000        1.0        1.0 
   48    no  5145308.3     2781.6        0.0        0.0      1.000        1.0        1.0 
   49    no  5146055.7      163.5        0.0        9.4      1.000        1.0        1.0 
   50    no  5147134.6       99.3        0.0       23.0      1.000        1.0        1.0 
   51    no  5148211.5      437.3        0.0       36.6      1.000        1.0        1.0 
   52    no  5149206.9      173.8        0.0       49.2      1.000        1.0        1.0 
   53    no  5150700.0      138.3        0.0       68.2      1.000        1.0        1.0 
   54    no  5151612.0     4540.6        0.0       79.9      1.000        1.0        1.0 
   55    no  5153517.3       69.4        0.0      104.3      1.000        1.0        1.0 
   56    no  5154243.0     5471.6        0.0      113.7      1.000        1.0        1.0 
   57    no  5154898.5      109.2        0.0      122.1      1.000        1.0        1.0 
   58    no  5158604.1    12055.9        0.0      170.3      1.000        1.0        1.0 
   59    no  5159620.2      248.0        0.0      183.7      1.000        1.0        1.0 
   60    no  5161539.6     1419.2        0.0      208.9      1.000        1.0        1.0 
   61    no  5162284.6     1494.0        0.0      218.8      1.000        1.0        1.0 
   64    no       16.7        2.5      497.6      561.7      1.000        1.0        1.0 
   65    no  5098043.2      668.4        0.0      545.3      1.000        1.0        1.0 
   66    no  5100621.1     2543.8        0.0      518.0      1.000        1.0        1.0 
   67    no  5101129.9      472.1        0.0      512.5      1.000        1.0        1.0 
   69    no  5106668.9       50.0        0.0      452.8      1.000        1.0        1.0 
   70    no  5109733.1      166.4        0.0      419.2      1.000        1.0        1.0 
   71    no  5110552.8      182.8        0.0      410.1      1.000        1.0        1.0 
   72    no  5111278.1      744.8        0.0      402.1      1.000        1.0        1.0 
   73    no  5115044.8     5242.1        0.0      360.0      1.000        1.0        1.0 
