   ID    ok   Diff(mA)       chi2        SNR     Diff/R      I1/I0         I0         I1 
    0    no  5494330.6      787.6        0.0       18.2      1.000        1.0        1.0 
    1    no  5495873.8     2519.1        0.0        0.0      1.000        1.0        1.0 
    2    no  5496137.0     1620.4        0.0        3.1      1.000        1.0        1.0 
    3    no  5498184.1      229.2        0.0       27.4      1.000        1.0        1.0 
    4    no  5499255.4     9043.9        0.0       40.2      1.000        1.0        1.0 
    5    no  5499647.8      533.2        0.0       44.9      1.000        1.0        1.0 
    6    no  5501281.4      327.3        0.0       64.5      1.000        1.0        1.0 
    7    no  5501943.9      231.0        0.0       72.5      1.000        1.0        1.0 
    8    no  5504301.8     1971.0        0.0      101.1      1.000        1.0        1.0 
    9    no  5506112.8      557.5        0.0      123.1      1.000        1.0        1.0 
   10    no  5506919.6      124.3        0.0      133.0      1.000        1.0        1.0 
   11    no  5507538.5      576.9        0.0      140.5      1.000        1.0        1.0 
   12    no  5508558.5      382.6        0.0      153.1      1.000        1.0        1.0 
   16    no  5512700.2        nan        0.0        nan      1.000        1.0        1.0 
   19    no        8.9       13.6      365.4      572.8      1.000        1.0        1.0 
   20    no  5447153.6      865.7        0.0      532.6      1.000        1.0        1.0 
   21    no  5448271.9       69.8        0.0      521.4      1.000        1.0        1.0 
   22    no  5449478.8      640.5        0.0      509.2      1.000        1.0        1.0 
   23    no  5449897.4      109.9        0.0      504.9      1.000        1.0        1.0 
   24    no  5450510.4       65.2        0.0      498.7      1.000        1.0        1.0 
   25    no  5451652.0     1222.9        0.0      487.1      1.000        1.0        1.0 
   26    no  5452218.7     2384.5        0.0      481.3      1.000        1.0        1.0 
   29    no       48.5        0.4       12.1      392.9      1.000        1.0        1.0 
   45    no       11.0        0.1       17.8      161.1      1.000        1.0        1.0 
   52    no       11.6        0.0       33.3       67.5      1.000        1.0        1.0 
   55    no  5494330.6      787.6        0.0       18.2      1.000        1.0        1.0 
   56    no  5495873.8     2519.1        0.0        0.0      1.000        1.0        1.0 
   57    no  5496137.0     1620.4        0.0        3.1      1.000        1.0        1.0 
   58    no  5498184.1      229.2        0.0       27.4      1.000        1.0        1.0 
   59    no  5499255.4     9043.9        0.0       40.2      1.000        1.0        1.0 
   60    no  5499647.8      533.2        0.0       44.9      1.000        1.0        1.0 
   61    no  5501281.4      327.3        0.0       64.5      1.000        1.0        1.0 
   62    no  5501943.9      231.0        0.0       72.5      1.000        1.0        1.0 
   63    no  5504301.8     1971.0        0.0      101.1      1.000        1.0        1.0 
   64    no  5506112.8      557.5        0.0      123.1      1.000        1.0        1.0 
   65    no  5506919.6      124.3        0.0      133.0      1.000        1.0        1.0 
   66    no  5507538.5      576.9        0.0      140.5      1.000        1.0        1.0 
   67    no  5508558.5      382.6        0.0      153.1      1.000        1.0        1.0 
   69    no       20.8        4.2      142.9      603.5      1.000        1.0        1.0 
   70    no       15.8        2.1      228.0      597.5      1.000        1.0        1.0 
   71    no  5447153.6      865.7        0.0      532.6      1.000        1.0        1.0 
   72    no  5448271.9       69.8        0.0      521.4      1.000        1.0        1.0 
   73    no  5449478.8      640.5        0.0      509.2      1.000        1.0        1.0 
   74    no  5449897.4      109.9        0.0      504.9      1.000        1.0        1.0 
   75    no  5450510.4       65.2        0.0      498.7      1.000        1.0        1.0 
   76    no  5451652.0     1222.9        0.0      487.1      1.000        1.0        1.0 
   77    no  5452218.7     2384.5        0.0      481.3      1.000        1.0        1.0 
