@id,posX,posY
1,1921.42,10.4
2,716.36,18.0
3,670.95,18.22
4,1197.33,19.09
5,757.97,32.18
6,1751.25,32.41
7,694.77,32.79
8,642.54,33.47
9,2020.69,73.68
10,1353.94,79.99
11,1920.89,98.11
12,957.06,105.4
13,1098.1,106.27
14,1245.66,107.85
15,1397.18,110.39
16,871.74,120.34
17,1682.15,132.88
18,536.62,138.55
19,731.05,151.05
20,256.02,159.52
21,1829.82,167.97
23,1443.42,186.26
24,1215.28,197.67
25,1467.49,201.98
26,1946.62,202.72
28,809.61,242.94
29,118.7,257.58
30,1666.45,269.49
32,635.23,292.71
33,544.16,294.21
35,1663.06,301.08
36,410.48,313.33
39,222.23,334.95
40,1151.3,340.32
41,1603.74,398.45
42,1309.7,427.04
43,1822.91,456.92
44,1905.03,459.99
45,1186.29,461.04
46,1292.07,462.03
47,1999.24,463.77
48,1970.79,480.16
49,2039.52,483.09
50,1918.86,550.32
51,1867.89,567.0
52,1684.33,580.07
53,1377.5,612.01
54,678.94,632.65
55,362.53,639.84
56,1470.09,652.87
57,471.93,677.27
58,1787.69,720.79
59,1500.99,734.79
60,1555.38,756.7
61,1845.96,764.03
62,1503.02,776.87
63,1742.95,782.07
65,723.94,798.45
66,690.56,798.96
67,1192.92,817.08
68,829.75,818.79
69,777.83,819.52
71,1481.88,841.59
72,863.16,862.96
73,1172.89,906.76
74,1948.17,919.83
75,1519.66,932.47
76,482.55,939.7
77,365.38,943.41
78,1110.81,953.25
79,934.63,954.39
81,1671.43,958.43
82,1799.18,961.42
83,1328.33,977.38
84,1872.92,986.89
85,1281.63,1000.95
86,1310.27,1001.13
87,1818.13,1009.01
88,430.34,1013.11
89,143.53,1023.99
90,1181.35,1025.05
91,1393.88,1025.8
92,618.37,1032.23
93,1584.59,1052.4
94,798.2,1053.15
95,729.29,1054.46
96,631.62,1056.72
97,853.83,1077.19
98,570.77,1083.24
99,144.51,1098.71
100,863.14,1102.31
101,1823.23,1106.79
102,1003.97,1125.98
103,625.21,1132.8
104,500.92,1136.4
105,457.97,1137.72
106,396.99,1139.78
107,1101.6,1151.01
108,1612.96,1153.26
109,1679.02,1154.37
110,768.61,1155.41
111,424.75,1164.85
112,804.26,1180.99
113,691.31,1183.36
114,576.85,1186.34
115,423.92,1191.23
116,1620.81,1205.37
117,858.69,1206.4
118,1786.06,1208.25
119,1909.59,1211.3
120,610.68,1211.99
121,376.11,1219.58
122,1049.41,1230.64
123,1558.69,1231.04
124,840.69,1233.53
125,679.18,1237.09
126,1212.46,1256.58
127,1875.6,1263.42
128,362.34,1274.54
129,1177.84,1283.99
130,1523.55,1284.63
131,985.66,1285.77
132,853.19,1288.0
133,981.54,1313.6
134,1741.13,1314.97
135,671.73,1319.94
136,519.96,1324.61
137,1066.16,1340.61
138,1030.24,1341.02
139,1808.47,1343.98
140,837.11,1344.22
141,699.18,1347.46
142,163.35,1367.4
143,1280.2,1367.54
144,1203.79,1367.76
145,1857.2,1372.96
146,1272.2,1396.23
147,1094.37,1397.47
148,495.52,1411.32
149,406.5,1414.7
150,381.33,1415.69
151,251.48,1421.16
152,1356.42,1425.02
153,1496.44,1425.33
154,1523.63,1425.5
155,604.84,1436.96
156,514.86,1440.02
157,1327.56,1454.3
158,1630.94,1455.56
159,899.64,1458.98
160,827.14,1460.57
161,565.0,1467.99
162,1187.69,1484.81
163,823.09,1490.62
164,654.65,1495.09
165,534.5,1499.15
166,485.34,1500.93
167,1634.09,1515.01
168,1012.1,1517.14
169,936.7,1518.43
170,985.86,1548.12
172,1301.69,1575.35
173,1237.57,1575.82
174,1748.38,1577.12
175,1938.37,1580.36
176,555.28,1590.96
177,497.52,1593.11
178,1568.6,1606.39
179,1313.11,1606.53
180,1630.53,1606.86
182,656.41,1619.05
183,384.39,1629.47
184,307.41,1632.98
185,1438.9,1637.67
186,1356.05,1637.89
187,789.2,1646.99
188,1232.57,1670.74
189,1037.43,1673.55
190,1234.08,1703.09
191,1151.34,1704.21
192,131.32,1706.95
193,497.33,1722.25
194,1535.72,1734.48
195,1218.14,1736.21
196,1092.12,1738.04
197,895.91,1742.15
198,611.32,1751.02
199,1171.0,1803.89
200,1286.21,1836.47
